DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-08-01,29.1,53.5,92.0,85.7,64.2,90.6,72.7,85.6,99.3
1991-08-02,34.2,47.7,99.0,84.4,66.1,90.3,73.3,88.4,99.3
1991-08-04,,52.3,92.3,75.3,,86.3,,76.6,99.0
1991-08-05,55.1,73.2,96.0,82.0,62.5,91.7,78.9,88.7,99.6
1991-08-06,44.8,64.5,95.0,82.2,80.0,89.4,86.1,88.8,100.0
1991-08-07,,64.1,94.0,84.9,60.4,91.9,76.8,87.6,99.3
1991-08-08,48.7,86.9,98.8,81.0,67.9,90.4,91.6,96.0,99.7
1991-08-09,,47.6,97.3,,77.6,93.7,84.8,90.3,99.3
1991-08-11,62.8,77.7,90.0,73.8,65.5,92.7,77.2,90.7,98.6
1991-08-12,36.9,43.6,86.7,87.7,71.9,91.3,79.8,92.3,99.3
1991-08-13,38.1,41.6,86.7,87.7,79.0,94.2,87.7,91.6,98.8
1991-08-14,50.9,36.5,80.0,87.0,69.6,91.7,80.5,82.7,99.0
1991-08-16,68.0,66.7,96.7,81.6,41.8,94.3,72.5,83.1,98.6
1991-08-18,38.5,54.5,88.0,90.0,,95.8,81.7,93.4,99.3
1991-08-19,25.2,61.4,91.2,78.6,65.1,86.8,81.0,89.0,99.4
1991-08-20,45.6,60.3,94.4,82.5,72.9,89.4,86.2,91.2,99.5
1991-08-21,,,,,77.7,,,,
1991-08-22,40.5,54.4,94.0,89.7,75.5,93.5,85.0,90.3,100.0
1991-08-23,13.7,45.0,95.0,87.5,71.3,93.9,79.6,89.1,100.0
1991-08-25,40.8,71.6,,59.0,26.4,74.7,83.8,81.4,
1991-08-26,,62.3,93.3,69.8,75.9,79.6,78.6,96.6,99.6
1991-08-27,,58.3,97.8,83.0,59.1,91.1,74.6,90.7,100.0
1991-08-28,,65.0,97.1,76.2,66.4,82.0,77.1,88.9,99.0
1991-08-29,39.8,65.9,97.1,81.7,70.9,89.5,87.0,89.5,99.8
1991-08-30,,69.5,,81.7,76.4,,81.7,86.4,
