DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-06-02,7.6,12.0,72.0,11.0,81.8,0.02,1607.0
1991-06-03,7.7,22.0,68.0,20.0,75.0,0.05,1142.0
1991-06-04,7.7,22.0,86.0,22.0,81.8,0.05,1333.0
1991-06-05,7.8,16.0,105.0,16.0,75.0,0.01,1268.0
1991-06-06,7.7,25.0,86.0,16.0,75.0,0.01,1379.0
1991-06-07,7.5,23.0,78.0,16.0,87.5,,1213.0
1991-06-09,7.6,16.0,59.0,15.0,80.0,0.0,1056.0
1991-06-10,7.7,17.0,84.0,27.0,77.8,0.02,1247.0
1991-06-12,7.7,21.0,53.0,19.0,77.9,0.0,1819.0
1991-06-13,7.7,22.0,98.0,21.0,74.3,0.02,1361.0
1991-06-14,7.6,15.0,85.0,9.0,88.9,,2030.0
1991-06-16,7.6,15.0,59.0,14.0,71.4,0.02,1679.0
1991-06-17,7.7,10.0,70.0,19.0,67.4,0.02,1605.0
1991-06-18,7.7,27.0,136.0,29.0,75.9,0.02,1523.0
1991-06-19,7.6,18.0,65.0,22.0,81.8,0.03,1610.0
1991-06-20,7.6,12.0,54.0,14.0,85.7,0.01,1483.0
1991-06-21,7.8,13.0,104.0,16.0,77.5,0.02,1441.0
1991-06-24,7.6,6.0,90.0,12.0,83.3,0.01,1226.0
1991-06-25,7.6,17.0,95.0,26.0,73.1,0.01,1190.0
1991-06-26,7.7,13.0,62.0,22.0,81.8,0.01,1635.0
1991-06-27,7.7,12.0,74.0,13.0,83.1,0.01,1560.0
1991-06-28,7.8,15.0,92.0,22.0,77.3,0.0,1883.0
1991-06-30,7.8,10.0,78.0,10.0,100.0,0.01,1817.0
