DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-04-01,7.7,30.0,43.0,44.0,79.5,0.5,1270.0
1991-04-02,7.7,22.0,85.0,22.0,78.8,0.0,1116.0
1991-04-03,7.8,23.0,74.0,23.0,81.2,0.0,1251.0
1991-04-04,7.9,20.0,84.0,19.0,77.6,0.0,1566.0
1991-04-05,7.7,23.0,88.0,23.0,87.0,0.05,1408.0
1991-04-07,7.6,15.0,106.0,13.0,96.2,0.0,1423.0
1991-04-08,7.7,16.0,110.0,15.0,97.8,0.0,1149.0
1991-04-09,7.7,18.0,90.0,16.0,93.8,0.02,1461.0
1991-04-10,7.6,24.0,71.0,57.0,88.2,0.05,1312.0
1991-04-11,7.8,20.0,81.0,13.0,92.3,0.0,1364.0
1991-04-12,7.5,20.0,147.0,31.0,83.9,,1543.0
1991-04-14,7.6,13.0,27.0,10.0,90.0,0.0,1082.0
1991-04-15,7.8,15.0,70.0,22.0,63.6,0.0,1233.0
1991-04-16,7.8,19.0,92.0,22.0,79.5,0.05,1843.0
1991-04-17,7.8,18.0,92.0,14.0,85.7,0.02,1654.0
1991-04-18,7.7,14.0,84.0,12.0,91.7,0.02,1760.0
1991-04-19,7.7,20.0,104.0,18.0,88.9,0.02,1323.0
1991-04-21,7.7,14.0,51.0,16.0,82.5,0.0,1086.0
1991-04-22,7.7,15.0,59.0,13.0,83.1,0.02,1035.0
1991-04-23,7.6,20.0,108.0,24.0,79.2,0.02,1250.0
1991-04-24,7.8,23.0,100.0,20.0,96.7,0.0,1433.0
1991-04-25,7.7,23.0,54.0,19.0,89.5,0.02,1512.0
1991-04-26,7.0,17.0,65.0,18.0,83.3,,1272.0
1991-04-28,7.5,13.0,39.0,14.0,92.9,0.02,949.0
1991-04-29,7.7,19.0,58.0,19.0,84.2,0.05,1316.0
