DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-03-01,49.4,69.4,83.5,71.4,67.2,91.3,84.3,94.5,98.6
1991-03-03,28.6,38.2,60.0,89.8,78.6,91.7,78.9,89.4,99.2
1991-03-04,12.6,42.5,75.0,87.3,64.0,90.4,78.1,89.8,99.7
1991-03-05,50.2,56.0,91.4,88.4,69.3,92.3,74.3,90.3,99.6
1991-03-06,31.8,48.8,86.7,85.7,61.3,86.5,66.6,85.6,99.6
1991-03-07,41.5,49.3,75.0,67.1,56.9,83.3,69.9,88.5,100.0
1991-03-08,41.0,57.6,,89.6,52.6,92.7,62.9,91.7,
1991-03-10,41.8,53.2,88.3,82.6,68.5,90.5,74.3,91.9,100.0
1991-03-11,66.4,48.6,88.8,75.3,79.5,87.9,82.3,92.6,99.6
1991-03-12,17.5,49.4,77.5,87.4,70.0,88.2,76.0,90.5,99.6
1991-03-13,34.7,46.4,78.9,84.8,58.6,89.6,64.0,90.9,100.0
1991-03-14,39.6,54.5,88.0,90.3,81.8,93.1,86.5,94.8,100.0
1991-03-15,37.8,58.8,80.0,91.2,76.4,91.6,81.6,92.3,100.0
1991-03-17,57.6,68.8,94.6,78.8,70.0,87.6,82.4,91.3,100.0
1991-03-18,,37.3,96.7,,73.7,86.6,78.2,86.9,100.0
1991-03-19,31.1,46.1,88.0,88.1,76.0,91.1,76.5,86.3,100.0
1991-03-20,15.4,53.8,97.1,84.0,75.1,87.0,80.6,88.0,99.8
1991-03-21,30.0,44.4,76.0,86.6,73.7,88.0,76.0,89.2,99.7
1991-03-22,51.2,63.7,,83.5,82.8,88.1,90.4,91.7,
1991-03-24,37.8,42.6,88.9,65.6,60.0,70.8,60.0,85.2,100.0
1991-03-25,25.8,60.6,92.1,79.2,,83.1,,91.6,100.0
1991-03-26,22.4,37.6,56.7,84.5,74.5,91.8,71.1,92.1,100.0
1991-03-27,34.5,43.8,93.3,87.2,,90.2,,88.8,100.0
1991-03-29,56.3,54.9,,89.3,84.1,92.3,90.7,93.4,
1991-03-31,68.6,59.2,,86.0,48.1,96.4,81.1,90.7,
