DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-09-02,7.6,12.0,39.0,11.0,,0.02,905.0
1990-09-03,7.8,14.0,82.0,12.0,,0.02,1910.0
1990-09-04,7.5,14.0,48.0,13.0,,0.02,1726.0
1990-09-05,7.9,18.0,84.0,74.0,,0.2,1661.0
1990-09-06,7.8,14.0,74.0,13.0,70.8,0.0,1418.0
1990-09-07,7.7,13.0,97.0,15.0,69.3,0.02,1358.0
1990-09-09,7.7,13.0,45.0,18.0,68.9,0.02,1020.0
1990-09-11,7.7,6.0,59.0,14.0,82.9,0.0,1095.0
1990-09-12,7.9,11.0,51.0,8.0,57.5,0.02,1690.0
1990-09-13,7.8,11.0,,9.0,62.2,0.0,2500.0
1990-09-14,7.8,12.0,67.0,12.0,75.0,0.0,3950.0
1990-09-16,7.7,11.0,54.0,9.0,80.0,0.0,1267.0
1990-09-17,7.7,10.0,66.0,9.0,75.6,0.0,1813.0
1990-09-18,7.7,12.0,70.0,15.0,56.0,0.02,1317.0
1990-09-19,7.7,8.0,144.0,11.0,80.0,0.02,1361.0
1990-09-20,7.8,12.0,76.0,12.0,86.7,0.02,1590.0
1990-09-21,7.6,9.0,73.0,13.0,,0.0,1868.0
1990-09-23,7.9,13.0,43.0,15.0,74.7,0.0,1458.0
1990-09-24,7.9,11.0,55.0,14.0,74.3,0.02,1324.0
1990-09-25,7.9,19.0,,14.0,82.9,0.0,1611.0
1990-09-26,7.9,14.0,55.0,10.0,92.0,0.0,1084.0
1990-09-27,7.9,11.0,56.0,10.0,78.0,0.0,1222.0
1990-09-28,7.6,15.0,120.0,11.0,70.9,0.0,1311.0
1990-09-30,7.9,13.0,56.0,20.0,80.0,0.02,1093.0
