DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-10-01,7.9,16.0,85.0,20.0,80.0,0.02,993.0
1990-10-02,7.9,13.0,74.0,16.0,80.0,0.0,1021.0
1990-10-03,7.7,21.0,116.0,14.0,85.7,0.02,1133.0
1990-10-04,7.7,8.0,90.0,17.0,76.5,0.02,2220.0
1990-10-05,7.8,13.0,78.0,14.0,71.4,0.02,1408.0
1990-10-07,7.5,7.0,66.0,19.0,63.2,0.02,1631.0
1990-10-08,7.8,12.0,43.0,16.0,77.5,0.05,1425.0
1990-10-09,7.7,10.0,41.0,14.0,74.3,0.05,1283.0
1990-10-10,7.9,15.0,93.0,17.0,72.9,0.02,1891.0
1990-10-12,7.8,7.0,75.0,10.0,72.0,0.02,882.0
1990-10-14,8.0,9.0,35.0,12.0,58.3,0.02,898.0
1990-10-15,7.9,12.0,51.0,17.0,58.8,0.02,967.0
1990-10-16,8.0,11.0,42.0,18.0,77.8,0.01,1635.0
1990-10-17,7.8,10.0,54.0,13.0,83.1,0.02,1079.0
1990-10-18,7.9,15.0,69.0,20.0,84.0,0.02,1880.0
1990-10-19,7.9,16.0,65.0,11.0,80.0,0.03,2040.0
1990-10-21,7.8,21.0,81.0,28.0,75.7,0.1,1105.0
1990-10-22,7.9,7.0,35.0,13.0,76.9,0.01,1495.0
1990-10-23,8.0,11.0,88.0,20.0,54.0,0.01,1171.0
1990-10-24,7.9,8.0,61.0,18.0,57.8,0.02,1595.0
1990-10-25,8.0,13.0,63.0,16.0,62.5,0.02,2030.0
1990-10-26,7.9,16.0,71.0,22.0,59.1,0.02,2190.0
1990-10-28,7.8,,59.0,24.0,73.3,0.02,1566.0
1990-10-29,7.8,,122.0,22.0,68.2,0.01,1463.0
1990-10-30,7.9,,74.0,26.0,60.0,0.01,1639.0
