DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-10-01,53.2,60.0,91.8,85.5,62.6,94.3,72.6,88.2,99.2
1990-10-02,47.8,79.6,97.3,87.9,63.0,95.8,78.3,96.9,100.0
1990-10-03,60.0,61.9,75.0,86.0,64.1,93.0,81.0,96.9,99.8
1990-10-04,54.2,73.9,96.7,94.7,67.2,95.5,78.2,91.3,99.6
1990-10-05,50.0,71.9,94.3,91.2,71.1,93.2,81.3,94.1,99.6
1990-10-07,40.7,51.8,90.0,90.4,62.3,94.6,72.2,91.9,98.7
1990-10-08,36.9,51.1,92.5,87.9,78.3,90.2,85.0,90.5,97.5
1990-10-09,29.1,54.9,95.0,87.2,77.1,88.9,84.9,90.3,98.9
1990-10-10,38.4,56.7,92.0,85.8,65.8,91.1,71.6,86.5,99.2
1990-10-12,67.2,63.5,94.3,84.1,53.1,95.0,86.5,96.5,99.7
1990-10-14,47.6,46.4,83.3,89.9,73.7,94.2,85.6,94.3,99.2
1990-10-15,52.8,54.3,93.8,87.1,75.0,92.4,85.9,91.8,99.6
1990-10-16,50.0,44.9,89.3,88.0,74.5,94.4,82.9,89.5,99.7
1990-10-17,61.6,50.0,92.0,85.3,67.3,90.2,79.9,91.7,99.2
1990-10-18,31.8,30.7,82.5,86.0,66.7,92.2,76.5,88.4,99.4
1990-10-19,44.2,29.6,87.5,86.8,78.3,91.4,80.5,92.9,99.3
1990-10-21,37.0,12.3,87.5,79.8,59.9,87.9,53.2,79.1,96.0
1990-10-22,70.1,89.4,95.0,84.8,68.5,93.6,83.4,98.5,99.8
1990-10-23,20.0,70.9,88.8,88.0,59.1,90.8,69.0,96.1,99.8
1990-10-24,50.5,76.3,92.5,91.3,73.5,93.0,82.9,94.6,99.4
1990-10-25,,50.7,78.6,90.8,74.9,94.7,,91.8,99.4
1990-10-26,27.7,44.7,77.8,83.8,70.3,95.8,77.7,88.7,99.3
1990-10-28,,49.4,85.0,,66.5,,68.6,81.3,99.0
1990-10-29,,50.9,88.0,,54.8,,68.2,87.8,99.7
1990-10-30,,57.9,94.0,,68.2,,75.9,86.7,99.8
