DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1991-06-02,Sunday,32308.0,1.75,7.7,118.0,295.0,178.0,62.9,3.0,1459,7.7,137.0,236,53.4,4.0,1442,7.7,103.0,231.0,104.0,67.3,0.3,1474
1991-06-03,Monday,31114.0,1.0,7.8,181.0,462.0,216.0,62.0,5.5,1315,7.8,197.0,354,54.2,8.0,1377,7.8,124.0,307.0,118.0,64.4,0.3,1270
1991-06-04,Tuesday,31205.0,0.58,7.7,214.0,467.0,242.0,61.2,4.5,1171,7.8,218.0,318,55.3,6.0,1205,7.7,132.0,300.0,116.0,67.2,0.2,1312
1991-06-05,Wednesday,35509.0,1.14,7.8,181.0,358.0,228.0,64.0,4.3,1224,7.9,243.0,456,49.6,9.5,1263,7.9,107.0,272.0,112.0,66.7,0.3,1265
1991-06-06,Thursday,34903.0,2.22,7.7,227.0,416.0,218.0,62.4,5.4,1335,7.7,257.0,416,50.0,8.0,1350,7.7,156.0,311.0,134.0,59.7,0.5,1368
1991-06-07,Friday,34294.0,5.9,7.6,146.0,438.0,174.0,67.8,,1102,7.6,182.0,332,55.4,,1093,7.5,123.0,340.0,112.0,64.3,,1239
1991-06-09,Sunday,30614.0,0.92,7.7,146.0,313.0,168.0,64.3,4.3,1019,7.7,173.0,246,58.5,5.9,1020,7.7,116.0,183.0,124.0,64.5,0.2,1034
1991-06-10,Monday,33239.0,2.5,7.8,217.0,591.0,264.0,66.7,7.5,1234,7.7,227.0,500,52.8,8.5,1219,7.8,135.0,338.0,132.0,66.7,0.3,1294
1991-06-12,Wednesday,32100.0,1.5,7.5,277.0,523.0,324.0,67.9,7.0,1817,7.6,315.0,348,56.3,9.0,1816,7.8,154.0,297.0,84.0,66.7,0.2,1829
1991-06-13,Thursday,32538.0,1.0,7.6,219.0,511.0,286.0,58.0,6.5,1326,7.8,243.0,382,56.5,7.0,1420,7.8,142.0,323.0,106.0,71.7,0.2,1359
1991-06-14,Friday,35571.0,1.75,7.2,166.0,549.0,138.0,63.8,,1769,7.4,197.0,426,49.8,,1882,7.5,111.0,287.0,74.0,70.3,,2100
1991-06-16,Sunday,33210.0,1.25,7.5,164.0,353.0,218.0,61.5,4.5,1535,7.6,185.0,244,58.2,5.0,1489,7.7,107.0,229.0,80.0,75.0,0.2,1573
1991-06-17,Monday,34097.0,0.72,7.8,192.0,330.0,190.0,57.9,5.5,1775,7.8,206.0,218,55.1,5.5,1782,7.8,117.0,275.0,82.0,73.2,0.2,1716
1991-06-18,Tuesday,31224.0,0.73,7.8,231.0,473.0,222.0,62.2,4.5,1309,7.8,279.0,268,57.5,6.0,1368,7.9,118.0,299.0,82.0,78.0,0.2,1529
1991-06-19,Wednesday,35389.0,0.36,7.6,157.0,392.0,232.0,53.4,5.0,1565,7.7,163.0,274,54.0,6.0,1517,7.8,103.0,250.0,76.0,81.6,0.2,1630
1991-06-20,Thursday,36708.0,3.9,7.8,196.0,403.0,200.0,66.0,5.0,1592,7.8,301.0,236,69.5,4.5,1478,7.7,130.0,288.0,74.0,83.8,0.2,1469
1991-06-21,Friday,33064.0,1.2,7.7,266.0,438.0,200.0,62.0,4.5,1396,7.9,217.0,214,62.6,4.5,1423,7.9,137.0,269.0,74.0,75.7,0.2,1471
1991-06-24,Monday,31949.0,3.3,7.3,133.0,310.0,208.0,56.7,3.5,1134,7.5,137.0,168,64.3,2.5,1133,7.6,104.0,212.0,64.0,81.3,0.2,1143
1991-06-25,Tuesday,35195.0,3.2,7.6,134.0,404.0,190.0,57.9,5.5,1305,7.7,207.0,212,59.4,5.5,1341,7.8,109.0,325.0,64.0,81.3,0.2,1286
1991-06-26,Wednesday,34886.0,0.85,7.6,178.0,310.0,198.0,66.7,5.5,1560,7.7,156.0,178,66.3,3.0,1549,7.7,100.0,248.0,74.0,89.2,0.1,1590
1991-06-27,Thursday,33708.0,0.45,7.8,171.0,380.0,164.0,82.9,4.5,1565,7.8,216.0,190,80.0,4.5,1589,7.8,119.0,279.0,52.0,100.0,0.1,1571
1991-06-28,Friday,32253.0,1.94,7.7,140.0,380.0,178.0,65.2,4.5,1668,7.7,147.0,182,68.1,3.5,1789,7.8,110.0,272.0,66.0,84.8,0.2,1898
1991-06-30,Sunday,29793.0,2.4,7.6,137.0,372.0,170.0,71.8,4.0,1704,7.7,143.0,172,,3.3,1616,7.7,100.0,290.0,76.0,81.6,0.5,1705
