DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-06-02,24.8,55.9,92.5,88.3,68.8,89.8,75.6,93.8,99.3
1991-06-03,37.1,66.7,96.3,82.3,77.9,87.8,85.3,90.7,99.1
1991-06-04,39.4,63.5,96.7,83.3,71.3,89.7,81.6,90.9,98.9
1991-06-05,56.0,75.4,96.8,85.0,61.4,91.2,70.7,93.0,99.8
1991-06-06,39.3,67.8,93.8,84.0,72.3,89.0,79.3,92.7,99.8
1991-06-07,32.4,66.3,,81.3,77.1,84.2,82.2,90.8,
1991-06-09,32.9,49.6,96.6,86.2,67.8,89.0,81.2,91.1,100.0
1991-06-10,40.5,73.6,97.1,87.4,75.1,92.2,85.8,89.8,99.7
1991-06-12,51.1,75.9,98.3,86.4,82.2,92.4,89.9,94.1,100.0
1991-06-13,41.6,72.3,97.1,84.5,69.7,90.0,80.8,92.7,99.7
1991-06-14,43.7,82.6,,86.5,70.4,91.0,84.5,93.5,
1991-06-16,42.2,67.2,97.0,86.0,74.2,90.9,83.3,93.6,99.6
1991-06-17,43.2,62.4,96.4,91.5,74.5,94.8,78.8,90.0,99.6
1991-06-18,57.7,69.4,97.5,77.1,54.5,88.3,71.2,86.9,99.6
1991-06-19,36.8,72.3,97.5,82.5,74.0,88.5,83.4,90.5,99.5
1991-06-20,56.8,68.6,95.6,90.8,81.3,93.9,86.6,93.0,99.8
1991-06-21,36.9,65.4,95.6,90.5,61.3,95.1,76.3,92.0,99.6
1991-06-24,24.1,61.9,92.0,94.2,57.5,95.5,71.0,94.2,99.7
1991-06-25,47.3,69.8,97.3,84.4,70.8,87.3,76.5,86.3,99.8
1991-06-26,35.9,58.4,96.7,87.0,75.0,92.7,80.0,88.9,99.8
1991-06-27,44.9,72.6,97.8,89.9,73.5,93.0,80.5,92.1,99.8
1991-06-28,25.2,63.7,95.7,86.4,66.2,89.3,75.8,87.6,100.0
1991-06-30,30.1,55.8,84.6,90.0,73.1,92.7,79.0,94.1,99.8
