Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2022-08-01,1441.402702,87.0,110.0,2692.437289,426.0,419.0
2022-08-02,1748.028991,77.0,97.0,2484.386204,421.0,413.0
2022-08-03,2385.348849,94.0,105.0,1491.677902,361.0,351.0
2022-08-04,1146.655934,85.0,109.0,2234.996224,403.0,396.0
2022-08-05,2081.898495,71.0,87.0,2104.105412,414.0,405.0
2022-08-06,1666.978065,86.0,106.0,2369.192575,389.0,381.0
2022-08-07,1256.92295,83.0,109.0,2322.322265,402.0,394.0
2022-08-08,3309.453752,90.0,99.0,2116.602515,390.0,382.0
2022-08-09,3222.577335,113.0,122.0,2748.052822,398.0,392.0
2022-08-10,2155.433485,84.0,100.0,2800.831854,393.0,386.0
2022-08-11,3265.042968,106.0,116.0,2062.418808,403.0,394.0
2022-08-12,2542.837292,87.0,98.0,1766.848112,371.0,362.0
2022-08-13,1122.128242,82.0,105.0,1630.265315,365.0,356.0
2022-08-14,1279.521558,96.0,118.0,2286.139447,400.0,393.0
2022-08-15,992.6062094,62.0,88.0,2934.342476,366.0,361.0
2022-08-16,1249.821509,65.0,88.0,2334.577306,363.0,356.0
2022-08-17,2581.685264,111.0,121.0,2096.697246,405.0,398.0
2022-08-18,2569.798536,102.0,114.0,2504.452231,414.0,407.0
2022-08-19,1494.181368,100.0,119.0,2689.900009,382.0,376.0
2022-08-20,2505.879038,90.0,103.0,2645.67129,422.0,415.0
2022-08-21,1747.720761,73.0,93.0,2207.953894,415.0,406.0
2022-08-22,1844.21362,80.0,97.0,2546.200362,390.0,383.0
2022-08-23,1326.813007,77.0,98.0,1760.017453,375.0,366.0
2022-08-24,1674.306793,103.0,121.0,2447.597345,407.0,400.0
2022-08-25,2244.591752,81.0,96.0,1914.075616,412.0,402.0
2022-08-26,1407.978515,90.0,112.0,2934.931214,416.0,410.0
2022-08-27,2178.562292,70.0,88.0,2786.653492,429.0,421.0
2022-08-28,1577.960696,100.0,118.0,2306.753115,396.0,389.0
2022-08-29,1447.429516,88.0,107.0,2605.734986,364.0,358.0
2022-08-30,1336.33676,64.0,90.0,2194.710405,403.0,394.0
2022-08-31,1400.073317,93.0,114.0,2785.795882,408.0,402.0
