Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2022-07-01,1474.360906,99.0,118.0,2654.218222,384.0,378.0
2022-07-02,2135.264761,70.0,88.0,2427.796033,416.0,407.0
2022-07-03,1601.478535,104.0,120.0,1820.881094,389.0,381.0
2022-07-04,2435.24675,73.0,87.0,2153.569876,427.0,418.0
2022-07-05,2640.724324,83.0,94.0,1834.863284,380.0,371.0
2022-07-06,1635.964079,88.0,108.0,2657.273083,378.0,371.0
2022-07-07,1142.67527,83.0,106.0,1660.116721,380.0,371.0
2022-07-08,1598.680498,103.0,121.0,2726.549589,379.0,373.0
2022-07-09,1290.688213,77.0,101.0,1956.683331,404.0,395.0
2022-07-10,1702.38983,104.0,121.0,2056.593314,387.0,379.0
2022-07-11,1358.547815,78.0,99.0,2703.170514,369.0,363.0
2022-07-12,2585.008009,104.0,118.0,2939.154107,425.0,418.0
2022-07-13,2583.714265,85.0,96.0,2019.657145,375.0,367.0
2022-07-14,1688.8024,78.0,98.0,1920.168329,425.0,415.0
2022-07-15,2769.656274,79.0,91.0,2699.227872,412.0,405.0
2022-07-16,1746.442769,74.0,95.0,2316.656333,398.0,389.0
2022-07-17,1654.033605,79.0,97.0,2417.96084,389.0,382.0
2022-07-18,1747.584909,104.0,119.0,1862.816289,359.0,351.0
2022-07-19,2492.523526,92.0,105.0,2631.570731,387.0,380.0
2022-07-20,1474.482093,72.0,94.0,2634.47822,408.0,401.0
2022-07-21,1495.493296,81.0,100.0,,391.0,382.0
2022-07-22,1388.852573,64.0,87.0,2017.771313,382.0,373.0
2022-07-23,1463.932551,94.0,115.0,2912.859793,409.0,403.0
2022-07-24,1376.085257,84.0,108.0,2346.913406,415.0,407.0
2022-07-25,2249.682521,93.0,106.0,2078.284834,380.0,372.0
2022-07-26,1402.324983,77.0,100.0,2037.34448,378.0,369.0
2022-07-27,2729.073128,82.0,93.0,2438.036972,377.0,370.0
2022-07-28,1392.782255,67.0,92.0,2827.8454,413.0,406.0
2022-07-29,2207.922321,108.0,121.0,2039.706239,382.0,374.0
2022-07-30,2835.343932,95.0,105.0,1790.99225,367.0,390.0
2022-07-31,1731.971511,79.0,98.0,2338.486284,414.0,406.0
