Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2022-05-01,1921.413674,86.0,104.0,2457.728265,430.0,422.0
2022-05-02,1660.9124,90.0,110.0,2360.571749,422.0,414.0
2022-05-03,1408.711888,85.0,105.0,2669.509027,387.0,381.0
2022-05-04,2863.325703,89.0,101.0,2790.515421,418.0,411.0
2022-05-05,1594.33284,102.0,119.0,2201.204247,396.0,389.0
2022-05-06,1533.58169,72.0,95.0,2506.543423,382.0,374.0
2022-05-07,1616.039476,103.0,118.0,1968.682376,375.0,368.0
2022-05-08,2053.323001,89.0,104.0,2188.713986,402.0,
2022-05-09,2302.643939,98.0,112.0,2036.30479,387.0,378.0
2022-05-10,1524.354298,76.0,97.0,2022.055977,398.0,389.0
2022-05-11,1382.615336,69.0,90.0,2063.294149,373.0,365.0
2022-05-12,1278.045534,84.0,106.0,2664.085915,372.0,366.0
2022-05-13,1715.713583,103.0,122.0,2316.535034,416.0,408.0
2022-05-14,1238.420368,73.0,94.0,1848.110195,382.0,374.0
2022-05-15,1702.910827,73.0,93.0,2766.013729,391.0,384.0
2022-05-16,1359.983372,65.0,87.0,1889.92356,402.0,393.0
2022-05-17,1813.729389,96.0,113.0,2191.098461,376.0,368.0
2022-05-18,3009.633908,84.0,96.0,2281.302502,420.0,411.0
2022-05-19,1432.860597,89.0,111.0,2240.098435,395.0,387.0
2022-05-20,2154.914161,108.0,121.0,2275.127586,383.0,376.0
2022-05-21,1438.601514,87.0,107.0,2336.699888,364.0,357.0
2022-05-22,1551.004926,90.0,113.0,2897.166416,425.0,418.0
2022-05-23,1726.977268,89.0,107.0,2524.594054,389.0,382.0
2022-05-24,2954.10443,107.0,118.0,2639.070293,419.0,412.0
2022-05-25,1671.991071,94.0,112.0,2138.685579,394.0,386.0
2022-05-26,1161.222632,69.0,95.0,2452.004532,385.0,378.0
2022-05-27,2458.107628,79.0,95.0,2484.327443,426.0,417.0
2022-05-28,1171.528392,98.0,121.0,1914.789936,373.0,365.0
2022-05-29,1439.66956,91.0,116.0,2923.043374,411.0,404.0
2022-05-30,2697.146495,101.0,112.0,2108.325701,404.0,396.0
2022-05-31,1904.532387,73.0,91.0,2165.453324,410.0,401.0
