Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2021-05-01,1412.653206,90.0,113.0,2308.893374,393.0,385.0
2021-05-02,1468.866461,63.0,87.0,2505.151749,391.0,383.0
2021-05-03,1731.841855,74.0,97.0,3234.956883,427.0,420.0
2021-05-04,1297.515314,97.0,122.0,2634.419485,429.0,422.0
2021-05-05,1370.476082,77.0,100.0,2239.957501,366.0,358.0
2021-05-06,2526.524184,95.0,108.0,2074.697442,400.0,391.0
2021-05-07,4204.949885,84.0,93.0,2689.328261,414.0,406.0
2021-05-08,2407.583087,94.0,109.0,2281.184975,425.0,416.0
2021-05-09,1471.440367,88.0,112.0,2509.541546,417.0,409.0
2021-05-10,2777.444478,85.0,98.0,2932.386202,388.0,381.0
2021-05-11,2192.504314,78.0,94.0,2492.877405,401.0,393.0
2021-05-12,1441.113571,100.0,121.0,1911.637152,390.0,381.0
2021-05-13,1723.149696,94.0,110.0,1959.221204,365.0,357.0
2021-05-14,2148.417313,104.0,118.0,2849.875566,380.0,374.0
2021-05-15,2164.430017,82.0,97.0,2307.147121,363.0,355.0
2021-05-16,3145.598243,93.0,105.0,2384.363468,410.0,401.0
2021-05-17,1499.621591,80.0,101.0,2237.904045,384.0,376.0
2021-05-18,1758.572376,72.0,92.0,2221.663102,389.0,380.0
2021-05-19,1897.571312,103.0,121.0,1941.784723,421.0,411.0
2021-05-20,1543.628836,90.0,113.0,2883.388406,405.0,398.0
2021-05-21,3423.235862,81.0,91.0,2162.343986,421.0,412.0
2021-05-22,1605.633918,96.0,115.0,1927.028308,363.0,354.0
2021-05-23,2185.554982,91.0,107.0,2839.972588,400.0,393.0
2021-05-24,1391.635552,81.0,105.0,2109.719496,393.0,384.0
2021-05-25,1635.962651,69.0,95.0,2686.795994,416.0,407.0
2021-05-26,2994.313367,99.0,110.0,2674.991235,393.0,386.0
2021-05-27,1727.637862,94.0,114.0,2806.177498,490.0,411.0
2021-05-28,1784.266967,87.0,107.0,2254.123934,419.0,410.0
2021-05-29,2617.968894,109.0,121.0,2551.397685,389.0,382.0
2021-05-30,1424.15856,68.0,90.0,1979.105679,374.0,365.0
2021-05-31,2031.308779,72.0,91.0,2437.909086,424.0,415.0
