DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-01-01,,62.8,93.3,,62.5,86.7,71.8,87.5,99.4
1990-01-02,,50.0,94.4,85.9,73.6,86.7,79.4,89.4,100.0
1990-01-03,32.6,62.4,95.0,81.3,59.9,87.5,71.8,85.9,99.8
1990-01-04,13.2,57.6,95.5,85.3,70.4,85.0,77.2,83.3,100.0
1990-01-07,38.2,46.6,95.0,84.9,61.1,89.4,73.8,86.6,99.6
1990-01-08,,62.7,95.6,75.9,59.1,,82.7,85.0,99.8
1990-01-09,,67.5,95.6,77.3,54.5,86.9,74.0,79.3,99.6
1990-01-10,,62.1,94.4,83.9,68.6,87.8,81.1,85.1,99.2
1990-01-11,40.7,45.7,88.9,82.6,58.3,88.9,71.1,88.5,99.2
1990-01-12,20.9,61.0,85.6,85.5,79.6,,82.5,87.7,99.9
1990-01-14,37.7,47.8,91.5,86.3,76.6,91.6,85.4,90.0,99.0
1990-01-15,25.9,55.8,96.4,82.6,75.9,86.8,81.2,80.7,98.9
1990-01-16,9.2,40.7,80.0,84.4,74.8,84.7,78.3,82.9,98.8
1990-01-17,24.0,48.0,90.0,82.6,70.1,81.9,71.5,79.6,98.4
1990-01-18,15.6,41.3,76.0,85.5,72.7,85.8,74.0,79.5,98.1
1990-01-19,36.5,50.6,89.2,85.0,68.9,89.4,74.6,86.0,99.8
1990-01-21,5.5,43.4,86.8,87.6,80.1,88.5,82.6,87.0,98.4
1990-01-22,29.0,53.7,91.1,80.3,69.2,81.4,76.3,82.9,99.6
1990-01-23,15.0,38.5,88.6,84.7,85.6,89.1,88.3,82.5,100.0
1990-01-24,,64.0,92.2,91.3,75.9,87.9,82.9,91.2,100.0
1990-01-25,8.5,31.3,71.4,87.4,63.8,87.2,67.6,89.2,100.0
1990-01-26,5.7,36.1,88.6,86.6,62.0,87.6,66.3,89.4,100.0
1990-01-28,62.7,82.6,94.0,75.3,68.2,91.5,87.1,95.0,99.3
1990-01-29,9.7,57.1,62.9,85.5,81.0,86.6,84.2,92.7,98.6
1990-01-30,18.6,56.5,84.8,85.6,74.9,84.7,76.7,84.9,100.0
1990-01-31,,51.8,86.7,,,,,,
