DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-01-01,7.5,16.0,97.0,17.0,51.8,0.03,903.0
1990-01-02,7.6,22.0,97.0,18.0,80.6,0.0,1481.0
1990-01-03,7.5,29.0,146.0,31.0,77.4,0.01,1492.0
1990-01-04,7.5,28.0,105.0,30.0,82.0,0.0,1590.0
1990-01-07,7.4,21.0,122.0,25.0,84.0,0.02,1411.0
1990-01-08,7.5,38.0,106.0,34.0,86.7,0.02,1239.0
1990-01-09,7.5,29.0,136.0,39.0,83.7,0.02,1503.0
1990-01-10,7.5,28.0,101.0,36.0,83.3,0.05,1552.0
1990-01-11,7.5,21.0,108.0,22.0,84.1,0.05,1596.0
1990-01-12,7.5,28.0,92.0,36.0,80.6,0.01,2580.0
1990-01-14,7.4,17.0,63.0,20.0,85.0,0.05,1473.0
1990-01-15,7.4,30.0,99.0,41.0,85.4,0.05,1395.0
1990-01-16,7.5,26.0,87.0,27.0,77.8,0.05,1635.0
1990-01-17,7.5,27.0,103.0,38.0,81.6,0.05,1597.0
1990-01-18,7.4,22.0,87.0,27.0,77.8,0.05,1482.0
1990-01-19,7.5,19.0,110.0,26.0,82.5,0.01,1861.0
1990-01-21,7.4,17.0,60.0,21.0,90.5,0.05,1572.0
1990-01-22,7.4,29.0,99.0,26.0,84.6,0.02,1490.0
1990-01-23,7.6,27.0,52.0,29.0,86.2,0.0,1764.0
1990-01-24,7.5,19.0,73.0,18.0,75.0,0.0,1800.0
1990-01-25,7.4,23.0,136.0,17.0,88.2,0.0,1365.0
1990-01-26,7.3,22.0,140.0,20.0,70.0,0.0,1262.0
1990-01-28,7.3,21.0,75.0,25.0,72.0,0.05,1164.0
1990-01-29,7.5,27.0,75.0,22.0,90.9,0.05,1291.0
1990-01-30,7.5,27.0,95.0,26.0,76.9,0.0,1542.0
1990-01-31,7.6,,,,,,1445.0
