DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-06-01,Friday,34669.0,1.2,7.8,198.0,381.0,216.0,51.9,3.5,1415,7.8,183.0,220,56.4,3.5,1453,7.7,123.0,246.0,76.0,78.9,0.2,1432
1990-06-03,Sunday,41824.0,1.2,7.8,161.0,281.0,164.0,58.5,2.3,1075,7.8,144.0,192,53.1,2.5,1068,7.8,118.0,233.0,88.0,70.5,0.4,1121
1990-06-04,Monday,51520.0,2.0,7.3,156.0,336.0,192.0,62.5,5.5,1320,7.8,158.0,184,56.5,4.0,1327,7.6,79.0,198.0,92.0,63.0,0.3,1175
1990-06-05,Tuesday,39421.0,1.0,7.9,189.0,457.0,1004.0,25.5,24.0,1218,7.8,234.0,1384,25.4,35.0,1257,7.7,156.0,323.0,140.0,65.7,0.3,1308
1990-06-06,Wednesday,36131.0,1.0,7.9,215.0,500.0,252.0,61.9,4.7,1512,7.8,233.0,348,49.4,7.5,1427,7.8,147.0,327.0,102.0,68.6,0.3,1436
1990-06-07,Thursday,33251.0,1.0,7.6,225.0,578.0,256.0,65.6,5.5,1510,7.6,224.0,276,53.6,6.5,1486,7.7,119.0,319.0,102.0,64.7,0.3,1492
1990-06-08,Friday,35789.0,1.5,7.4,316.0,533.0,264.0,54.5,5.5,1361,7.4,352.0,344,46.5,6.5,1453,7.5,190.0,361.0,160.0,51.3,1.5,1518
1990-06-10,Sunday,40106.0,0.6,7.8,238.0,504.0,292.0,58.9,6.5,1109,7.8,361.0,352,51.1,7.0,1113,7.8,147.0,256.0,128.0,65.6,0.8,1113
1990-06-11,Monday,45191.0,2.0,8.0,125.0,324.0,362.0,35.9,5.0,1093,7.7,297.0,804,32.8,13.0,1086,7.9,84.0,204.0,124.0,53.2,0.6,1105
1990-06-12,Tuesday,43308.0,1.4,7.9,265.0,330.0,562.0,27.4,7.5,1866,7.9,242.0,680,30.0,12.5,1858,7.9,133.0,206.0,120.0,48.3,0.6,1850
1990-06-13,Wednesday,37615.0,1.2,7.8,199.0,404.0,232.0,53.4,5.0,1310,7.8,416.0,544,43.4,11.0,1366,7.7,143.0,299.0,114.0,61.4,0.4,1466
1990-06-14,Thursday,42596.0,3.0,7.7,138.0,259.0,456.0,22.8,4.0,1007,7.6,160.0,584,26.7,7.5,1039,7.6,101.0,176.0,126.0,47.6,0.5,1113
1990-06-15,Friday,41948.0,1.5,7.7,198.0,396.0,216.0,52.8,3.0,1282,7.8,245.0,328,47.6,5.0,1321,7.7,109.0,244.0,120.0,56.7,0.3,1304
1990-06-17,Sunday,34647.0,1.0,7.5,193.0,342.0,260.0,50.8,3.0,985,7.6,230.0,424,44.3,6.0,1008,7.6,132.0,223.0,174.0,50.6,0.4,992
1990-06-18,Monday,36967.0,1.0,7.6,202.0,426.0,248.0,80.6,5.5,2310,7.7,326.0,404,56.4,7.0,2180,7.7,142.0,280.0,146.0,65.8,0.6,1909
1990-06-19,Tuesday,34879.0,1.0,7.5,319.0,465.0,214.0,63.6,5.5,1308,7.6,364.0,388,50.5,7.5,1344,7.7,143.0,261.0,100.0,70.0,0.4,1378
1990-06-20,Wednesday,34365.0,6.0,7.6,236.0,444.0,236.0,62.7,4.9,1400,7.7,259.0,440,50.0,10.0,1439,7.6,140.0,246.0,122.0,59.0,0.3,1458
1990-06-21,Thursday,34291.0,8.0,7.9,192.0,433.0,300.0,57.3,7.0,1395,7.9,269.0,436,50.5,11.5,1335,7.9,138.0,294.0,108.0,68.5,0.3,1378
1990-06-22,Friday,34886.0,8.0,7.7,211.0,488.0,268.0,53.7,5.8,1212,7.9,265.0,348,57.5,8.5,1274,7.7,151.0,306.0,88.0,79.5,0.2,1309
1990-06-24,Sunday,38731.0,1.2,7.5,200.0,402.0,184.0,64.1,2.8,1127,7.5,188.0,218,63.3,3.0,1140,7.5,122.0,233.0,90.0,77.8,0.2,1200
1990-06-25,Monday,39308.0,3.0,7.8,217.0,349.0,172.0,69.8,3.5,1454,7.8,174.0,208,65.4,4.0,1487,7.8,98.0,261.0,78.0,76.9,0.2,1360
1990-06-26,Tuesday,44198.0,7.0,7.7,257.0,667.0,1016.0,31.5,22.0,1478,7.8,212.0,572,36.4,12.5,1422,7.9,135.0,210.0,108.0,57.4,0.2,1358
1990-06-27,Wednesday,39003.0,1.2,7.8,183.0,456.0,232.0,65.5,5.0,1262,7.8,198.0,216,55.6,4.5,1247,7.9,107.0,266.0,84.0,57.1,0.2,1305
1990-06-28,Thursday,34487.0,0.7,7.9,183.0,380.0,192.0,62.5,4.5,1339,7.8,196.0,216,55.6,6.0,1403,7.8,128.0,270.0,68.0,70.6,0.1,1409
1990-06-29,Friday,35198.0,0.8,7.7,185.0,372.0,164.0,61.0,3.0,1623,7.8,210.0,192,64.6,3.0,1508,7.8,124.0,278.0,74.0,72.9,0.1,1482
