DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-06-01,7.7,29.0,91.0,26.0,80.8,0.05,1390.0
1990-06-03,7.8,14.0,63.0,19.0,73.7,0.01,1246.0
1990-06-04,7.9,15.0,59.0,19.0,78.9,0.01,1054.0
1990-06-05,7.8,19.0,79.0,21.0,81.0,0.05,1172.0
1990-06-06,7.9,25.0,75.0,23.0,78.3,0.01,1409.0
1990-06-07,7.6,15.0,151.0,25.0,76.8,0.05,1461.0
1990-06-08,7.5,39.0,150.0,54.0,74.1,0.1,1506.0
1990-06-10,8.0,19.0,80.0,20.0,70.0,0.05,1238.0
1990-06-11,7.9,28.0,128.0,14.0,74.3,0.02,1008.0
1990-06-12,7.8,24.0,70.0,11.0,61.8,0.02,1800.0
1990-06-13,7.6,25.0,85.0,19.0,65.3,0.0,1404.0
1990-06-14,7.6,22.0,59.0,16.0,68.8,0.0,1194.0
1990-06-15,7.8,23.0,105.0,32.0,71.3,0.02,1295.0
1990-06-17,7.3,,,22.0,69.1,0.0,1218.0
1990-06-18,7.7,33.0,92.0,23.0,73.0,0.02,1813.0
1990-06-19,7.7,18.0,104.0,11.0,87.3,0.02,1345.0
1990-06-20,7.7,24.0,115.0,17.0,70.6,0.05,1480.0
1990-06-21,7.8,15.0,60.0,12.0,91.7,0.02,1423.0
1990-06-22,7.7,15.0,63.0,12.0,83.3,0.0,1320.0
1990-06-24,7.7,17.0,64.0,17.0,76.5,0.0,1317.0
1990-06-25,7.9,,92.0,20.0,80.0,0.0,1230.0
1990-06-26,8.0,16.0,56.0,15.0,73.3,0.0,1378.0
1990-06-27,7.8,19.0,60.0,12.0,75.0,0.0,1234.0
1990-06-28,8.0,13.0,63.0,15.0,66.7,0.0,1344.0
1990-06-29,7.9,18.0,78.0,15.0,66.7,0.0,1491.0
