DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-05-01,20.5,52.1,87.5,87.6,59.1,90.2,65.7,91.2,100.0
1991-05-02,34.3,53.2,88.0,84.8,68.0,89.5,77.6,92.4,100.0
1991-05-03,26.0,50.6,90.0,84.2,74.9,87.3,72.8,91.3,100.0
1991-05-05,48.3,51.4,88.0,78.7,68.1,89.5,87.3,91.9,99.3
1991-05-06,54.8,53.3,87.1,91.0,81.7,92.4,87.5,93.6,99.3
1991-05-07,30.6,53.3,88.8,83.4,71.0,89.5,82.3,91.3,99.6
1991-05-08,39.7,66.0,83.3,79.5,60.4,85.0,72.2,95.0,100.0
1991-05-09,46.4,62.6,80.0,77.8,59.2,87.5,75.0,94.4,100.0
1991-05-10,35.7,69.7,,87.0,41.1,92.2,71.8,93.3,
1991-05-12,41.8,62.5,84.0,81.7,83.7,86.2,82.5,91.7,100.0
1991-05-13,43.4,50.0,80.0,79.8,82.8,85.2,85.5,89.0,99.2
1991-05-14,29.1,72.9,95.1,85.6,75.5,88.6,85.9,94.5,99.3
1991-05-15,29.8,56.3,92.3,88.2,70.7,91.9,80.7,93.3,99.7
1991-05-16,46.7,70.6,95.6,87.0,72.7,90.5,81.4,95.8,99.8
1991-05-17,36.8,66.9,92.0,86.6,77.1,89.3,86.0,94.0,99.8
1991-05-19,17.4,37.0,81.5,71.1,58.1,78.4,72.5,82.8,99.4
1991-05-20,28.7,73.0,96.4,85.6,64.0,91.7,76.9,94.5,99.8
1991-05-21,51.9,67.5,95.2,88.1,66.1,95.0,75.8,92.8,99.8
1991-05-22,66.7,63.9,96.7,88.7,71.0,94.0,79.1,91.3,99.1
1991-05-23,59.4,62.1,96.9,84.9,65.2,92.0,76.7,90.2,98.0
1991-05-24,68.5,96.1,,83.5,47.3,92.5,81.0,99.4,
1991-05-26,20.0,68.5,97.3,87.0,82.0,88.5,87.0,93.1,99.6
1991-05-27,32.5,42.7,90.0,82.4,75.5,88.8,82.7,93.2,99.6
1991-05-28,43.1,94.7,98.9,81.8,68.7,89.9,83.6,98.6,99.9
1991-05-29,43.1,73.7,96.0,87.8,59.3,93.8,77.6,95.1,99.8
1991-05-30,66.1,81.9,97.9,79.0,64.4,91.4,85.5,91.2,99.6
1991-05-31,50.5,88.0,97.6,84.5,,90.4,,97.9,99.9
