DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-06-01,32.8,65.5,94.3,76.4,63.0,85.4,76.1,88.0,98.6
1990-06-03,18.1,54.2,84.0,88.1,73.0,91.3,77.6,88.4,99.6
1990-06-04,50.0,50.0,92.5,81.0,70.2,90.4,82.4,90.1,99.8
1990-06-05,33.3,89.9,99.1,87.8,75.5,89.9,82.7,97.9,100.0
1990-06-06,36.9,70.7,96.0,83.0,77.1,88.4,85.0,90.9,99.8
1990-06-07,46.9,63.0,95.4,87.4,52.7,93.3,73.9,90.2,99.1
1990-06-08,46.0,53.5,76.9,79.5,58.4,87.7,71.9,79.5,98.2
1990-06-10,59.3,63.6,88.6,87.1,68.8,92.0,84.1,93.2,99.2
1990-06-11,71.7,84.6,95.4,66.7,37.3,77.6,60.5,96.1,99.6
1990-06-12,45.0,82.4,95.2,82.0,66.0,90.9,78.8,98.0,99.7
1990-06-13,65.6,79.0,96.4,82.5,71.6,87.4,79.0,91.8,100.0
1990-06-14,36.9,78.4,93.3,78.2,66.5,84.1,77.2,96.5,100.0
1990-06-15,55.5,63.4,94.0,78.9,57.0,88.4,73.5,85.2,99.3
1990-06-17,42.6,59.0,93.3,,,,,91.5,100.0
1990-06-18,56.4,63.9,92.1,76.8,67.1,83.7,78.4,90.7,99.6
1990-06-19,60.7,74.2,94.7,87.4,60.2,94.4,77.6,94.9,99.6
1990-06-20,45.9,72.3,97.0,82.9,53.3,89.8,74.1,92.8,99.0
1990-06-21,48.7,75.2,97.8,89.1,79.6,92.2,86.1,96.0,99.7
1990-06-22,43.0,74.7,97.6,90.1,79.4,92.9,87.1,95.5,100.0
1990-06-24,35.1,58.7,95.0,86.1,72.5,91.5,84.1,90.8,100.0
1990-06-25,43.7,62.5,95.0,,64.8,,73.6,88.4,100.0
1990-06-26,36.3,81.1,98.4,88.1,73.3,93.8,91.6,98.5,100.0
1990-06-27,46.0,61.1,96.7,82.2,77.4,89.6,86.8,94.8,100.0
1990-06-28,34.7,68.5,98.3,89.8,76.7,92.9,83.4,92.2,100.0
1990-06-29,41.0,61.5,96.7,85.5,71.9,90.3,79.0,90.9,100.0
