DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-02-01,42.8,51.9,91.1,89.6,76.5,93.0,84.1,94.0,99.8
1991-02-03,28.3,60.6,88.6,74.6,57.1,78.7,76.3,86.2,99.8
1991-02-04,70.0,61.5,85.5,78.1,85.2,92.8,88.3,92.2,100.0
1991-02-05,16.0,59.6,87.5,87.0,75.4,91.3,85.5,90.4,99.6
1991-02-06,45.8,48.4,89.4,90.5,72.3,92.5,83.3,92.4,100.0
1991-02-07,45.8,58.1,83.4,88.0,77.9,90.7,88.8,94.3,85.7
1991-02-08,34.8,62.1,,78.8,65.1,86.4,75.3,89.0,
1991-02-10,31.3,40.0,78.0,86.7,,90.6,,91.8,100.0
1991-02-11,35.7,51.9,88.6,83.8,,90.3,,92.0,99.2
1991-02-12,23.2,60.6,90.4,85.9,71.1,89.1,82.8,92.9,99.7
1991-02-13,35.1,67.0,97.0,81.5,62.7,84.4,69.8,88.3,100.0
1991-02-14,12.4,61.6,92.7,83.9,67.2,87.0,75.8,85.9,100.0
1991-02-15,30.0,66.5,91.7,86.3,75.1,89.2,87.0,90.1,99.0
1991-02-17,,51.6,90.8,82.5,79.9,82.9,89.3,89.3,100.0
1991-02-18,40.0,68.7,95.0,83.7,73.4,90.8,84.6,94.4,100.0
1991-02-19,55.7,58.2,81.8,83.0,74.4,90.3,80.6,88.2,100.0
1991-02-21,38.9,63.4,96.2,88.3,92.2,91.2,95.7,93.4,100.0
1991-02-22,42.7,43.3,,92.9,57.0,,,92.9,
1991-02-24,67.7,65.1,94.4,86.0,69.9,93.3,76.6,89.1,100.0
1991-02-25,48.8,69.5,91.0,86.1,69.4,88.3,74.9,89.2,100.0
1991-02-26,58.4,62.4,93.3,85.0,83.8,90.3,87.6,90.4,100.0
1991-02-27,,53.4,91.0,84.4,81.4,89.2,89.3,92.7,100.0
1991-02-28,,,,,,,,,
