DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1991-02-01,Friday,38105.0,1.56,8.4,230.0,517.0,218.0,75.2,5.0,1645,8.5,269.0,212,73.6,4.5,1676,8.3,154.0,349.0,102.0,80.4,0.4,1658
1991-02-03,Sunday,30701.0,0.62,8.1,136.0,447.0,196.0,60.2,4.5,1105,8.3,159.0,188,60.6,3.5,1120,7.8,114.0,247.0,74.0,78.4,0.4,1155
1991-02-04,Monday,34290.0,3.03,8.1,194.0,435.0,166.0,72.3,4.0,1770,8.1,213.0,260,70.0,5.5,1930,8.1,64.0,345.0,100.0,76.0,0.8,1880
1991-02-05,Tuesday,35338.0,3.2,8.0,195.0,574.0,166.0,69.9,4.9,1563,8.0,156.0,188,68.1,4.0,1580,8.0,131.0,337.0,76.0,78.9,0.5,1695
1991-02-06,Wednesday,37120.0,2.57,8.0,212.0,546.0,184.0,72.8,4.5,2240,8.0,312.0,182,74.7,4.3,2160,8.0,169.0,329.0,94.0,74.5,0.5,1940
1991-02-07,Thursday,35190.0,10.0,8.1,227.0,812.0,350.0,59.4,0.7,1512,8.1,323.0,358,59.8,7.3,1592,8.1,175.0,412.0,150.0,70.7,1.2,1524
1991-02-08,Friday,33714.0,2.65,8.4,228.0,473.0,200.0,74.0,,1542,8.3,224.0,280,69.3,,1546,8.1,146.0,335.0,106.0,81.1,,1658
1991-02-10,Sunday,29660.0,1.99,8.0,223.0,521.0,208.0,74.0,5.3,1585,8.0,230.0,200,75.0,5.0,1555,7.9,158.0,327.0,120.0,75.0,1.1,1597
1991-02-11,Monday,31749.0,10.7,8.1,247.0,525.0,264.0,71.2,6.3,1606,8.2,230.0,262,67.9,7.0,1598,8.1,148.0,339.0,126.0,74.6,0.8,1564
1991-02-12,Tuesday,32736.0,5.3,8.2,257.0,629.0,312.0,71.8,7.5,1823,8.2,259.0,264,72.0,6.3,1767,8.2,199.0,374.0,104.0,78.8,0.6,1871
1991-02-13,Wednesday,34441.0,8.2,8.1,199.0,486.0,240.0,68.3,9.0,1605,8.1,259.0,352,68.2,13.2,1684,8.1,168.0,394.0,116.0,75.9,0.4,1679
1991-02-14,Thursday,32888.0,6.25,8.1,185.0,401.0,156.0,79.5,4.0,1513,8.2,170.0,224,73.2,5.5,1593,8.1,149.0,296.0,86.0,90.7,0.4,1653
1991-02-15,Friday,34461.0,6.2,8.1,222.0,662.0,252.0,68.3,6.5,1734,8.2,250.0,310,7.1,7.3,1733,8.2,175.0,346.0,104.0,78.8,0.6,1789
1991-02-17,Sunday,34045.0,1.32,8.0,129.0,506.0,178.0,62.9,4.0,1180,8.0,109.0,186,62.4,3.8,1148,7.9,126.0,269.0,90.0,77.8,0.4,1255
1991-02-18,Monday,36421.0,2.98,8.2,240.0,507.0,356.0,60.7,9.0,1672,8.2,225.0,300,60.7,8.0,1663,8.1,135.0,293.0,94.0,76.6,0.4,1622
1991-02-19,Tuesday,37662.0,2.6,8.1,238.0,490.0,170.0,70.6,5.0,1652,8.2,305.0,244,67.2,5.5,1643,8.2,135.0,371.0,102.0,70.6,1.0,1772
1991-02-21,Thursday,29990.0,7.6,7.9,204.0,469.0,212.0,75.5,5.0,1145,7.9,252.0,246,70.7,6.5,1186,8.1,154.0,257.0,90.0,84.4,0.3,1172
1991-02-22,Friday,37561.0,12.5,7.5,,,196.0,72.5,,1245,7.6,370.0,194,75.3,,1185,7.7,212.0,230.0,110.0,74.6,,1163
1991-02-24,Sunday,27340.0,4.19,7.7,254.0,411.0,174.0,73.6,4.5,1339,7.9,375.0,292,67.1,8.0,1350,7.9,121.0,319.0,102.0,78.4,0.5,1423
1991-02-25,Monday,30055.0,5.7,7.8,230.0,422.0,222.0,71.2,5.0,1733,7.9,379.0,400,65.0,10.0,1790,8.0,194.0,346.0,122.0,82.0,0.9,1743
1991-02-26,Tuesday,31494.0,2.5,8.0,290.0,459.0,228.0,71.9,7.5,1684,8.0,449.0,298,71.1,9.0,1746,8.0,187.0,352.0,112.0,91.1,0.6,1828
1991-02-27,Wednesday,31765.0,2.0,7.9,240.0,887.0,314.0,76.4,7.0,2120,7.9,158.0,292,74.0,7.2,2200,7.9,167.0,511.0,136.0,75.0,0.7,2190
1991-02-28,Thursday,25342.0,2.0,8.3,275.0,494.0,212.0,78.3,4.5,2070,8.3,411.0,322,73.3,10.0,2200,8.2,167.0,371.0,118.0,88.1,0.5,2240
