DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-04-01,33.2,34.6,80.0,86.6,73.3,91.5,81.0,89.3,99.4
1990-04-02,19.6,71.8,100.0,87.2,58.4,88.5,67.2,93.2,99.5
1990-04-03,21.7,69.7,88.2,89.7,78.5,90.2,79.8,96.1,99.7
1990-04-04,28.8,60.4,92.5,91.5,76.2,93.1,79.1,93.8,100.0
1990-04-05,40.8,56.3,88.1,87.4,61.4,89.5,63.5,91.0,100.0
1990-04-06,37.0,61.2,89.1,87.7,68.1,89.6,71.3,87.8,100.0
1990-04-08,25.7,48.4,89.2,81.5,67.4,83.5,77.2,91.0,100.0
1990-04-09,42.9,75.2,94.7,84.6,69.3,90.0,87.0,94.9,99.6
1990-04-10,,59.3,88.6,78.2,74.9,84.3,80.8,88.0,99.3
1990-04-11,48.8,30.2,80.0,90.8,77.9,95.5,77.5,92.1,
1990-04-13,44.7,52.2,,90.9,77.4,93.3,83.2,88.8,
1990-04-16,51.3,46.6,85.0,80.4,80.7,90.2,83.1,85.1,99.3
1990-04-17,11.2,38.3,91.1,79.7,83.2,82.0,85.9,81.0,98.8
1990-04-18,50.2,57.5,94.5,87.8,72.1,88.4,77.2,86.2,99.3
1990-04-19,13.5,48.8,94.0,75.3,51.3,74.2,56.6,72.7,99.3
1990-04-20,15.6,,88.0,88.1,68.9,91.7,76.8,,99.3
1990-04-22,42.5,64.0,86.1,87.7,74.2,88.0,75.9,91.5,100.0
1990-04-23,17.6,54.7,91.7,84.4,69.0,89.5,72.7,77.4,96.2
1990-04-24,56.0,70.3,91.4,80.2,45.7,92.9,71.9,90.3,99.5
1990-04-25,60.4,59.8,93.3,65.6,42.6,88.2,77.7,73.9,98.5
1990-04-26,42.3,76.3,94.2,80.7,49.9,88.2,60.8,79.3,92.3
1990-04-27,38.5,60.0,95.6,77.8,31.0,83.5,48.0,64.4,95.0
1990-04-29,53.8,16.1,60.0,74.4,42.3,81.5,39.7,58.0,57.1
