DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-04-01,Sunday,40552.0,2.0,7.9,200.0,395.0,178.0,71.9,3.5,1038,7.8,190.0,156,71.8,3.5,1063,7.7,127.0,281.0,102.0,72.5,0.7,1023
1990-04-02,Monday,53210.0,5.0,7.8,87.0,241.0,236.0,38.1,4.0,1179,8.0,97.0,248,33.9,3.5,1231,8.0,78.0,190.0,70.0,57.1,0.0,902
1990-04-03,Tuesday,53530.0,1.5,8.1,132.0,336.0,330.0,37.0,6.0,1234,8.0,161.0,264,37.9,5.5,1327,7.9,126.0,316.0,80.0,75.0,0.7,1257
1990-04-04,Wednesday,46659.0,2.0,7.7,175.0,321.0,176.0,58.0,3.5,1335,7.8,198.0,192,58.3,4.0,1418,7.7,141.0,281.0,76.0,78.9,0.3,1316
1990-04-05,Thursday,45772.0,2.0,7.9,162.0,348.0,156.0,64.1,3.1,1340,7.9,228.0,252,65.1,5.9,1398,7.9,135.0,329.0,110.0,78.2,0.7,1377
1990-04-06,Friday,52933.0,1.75,7.9,135.0,317.0,180.0,53.5,3.5,1362,7.9,181.0,268,59.7,4.6,1417,7.6,114.0,285.0,104.0,71.2,0.5,1459
1990-04-08,Sunday,36510.0,1.5,7.9,91.0,325.0,122.0,77.0,3.5,1026,7.9,109.0,124,93.5,3.7,1063,7.8,81.0,227.0,64.0,96.9,0.4,983
1990-04-09,Monday,34299.0,3.0,7.8,210.0,725.0,350.0,41.7,5.0,1265,7.8,238.0,428,42.1,7.5,1262,7.8,136.0,306.0,106.0,47.2,0.4,1287
1990-04-10,Tuesday,41073.0,0.8,8.1,166.0,422.0,184.0,63.0,3.0,1450,8.0,118.0,280,65.7,3.5,1429,8.1,119.0,323.0,114.0,70.2,0.4,1419
1990-04-11,Wednesday,43536.0,2.5,7.8,267.0,342.0,202.0,58.4,2.0,1327,7.7,254.0,172,69.8,2.0,1306,7.8,130.0,349.0,120.0,66.7,0.4,1450
1990-04-13,Friday,34667.0,6.0,7.2,165.0,315.0,170.0,64.7,,1125,7.3,219.0,180,67.8,,1151,7.3,121.0,235.0,86.0,81.4,,1204
1990-04-16,Monday,29624.0,1.4,7.5,184.0,219.0,148.0,62.2,3.0,1530,7.5,189.0,146,60.3,2.0,1553,7.5,92.0,192.0,78.0,76.9,0.3,1560
1990-04-17,Tuesday,34069.0,1.2,7.5,89.0,298.0,116.0,68.9,2.0,1119,7.7,89.0,120,70.0,2.3,1103,7.7,79.0,250.0,74.0,81.0,0.2,1188
1990-04-18,Wednesday,37782.0,1.2,8.1,155.0,382.0,174.0,66.7,7.0,1205,7.9,295.0,212,73.6,5.5,1319,7.8,147.0,312.0,90.0,75.6,0.3,1246
1990-04-19,Thursday,42109.0,0.7,7.8,159.0,350.0,150.0,69.3,3.0,1304,7.8,192.0,160,75.0,2.5,1206,7.7,166.0,312.0,82.0,75.6,0.2,1276
1990-04-20,Friday,40871.0,0.7,7.7,193.0,298.0,120.0,60.0,3.0,1068,7.8,160.0,200,38.0,2.5,1167,7.8,135.0,222.0,,,0.3,1211
1990-04-22,Sunday,36088.0,15.0,7.5,75.0,133.0,142.0,39.4,2.0,860,7.6,127.0,172,46.5,1.8,838,7.6,73.0,124.0,62.0,67.7,0.3,871
1990-04-23,Monday,47255.0,0.6,7.7,181.0,264.0,124.0,61.3,2.6,1087,7.8,148.0,150,52.0,3.0,1047,7.8,122.0,232.0,68.0,61.8,0.3,1103
1990-04-24,Tuesday,55300.0,1.5,7.9,254.0,356.0,206.0,56.3,4.0,1300,7.9,207.0,222,53.2,3.5,1347,7.9,91.0,184.0,66.0,69.7,0.3,1188
1990-04-25,Wednesday,37646.0,1.0,7.8,355.0,556.0,184.0,50.0,3.3,1278,7.8,308.0,194,51.5,3.0,1376,7.8,122.0,216.0,78.0,71.8,0.2,1395
1990-04-26,Thursday,34528.0,1.0,7.9,262.0,444.0,324.0,48.1,6.5,1319,7.9,279.0,380,43.2,6.0,1362,7.9,161.0,347.0,90.0,77.8,0.4,1476
1990-04-27,Friday,31417.0,3.0,7.8,237.0,549.0,236.0,71.2,4.0,1397,7.9,286.0,280,67.1,8.0,1368,7.8,176.0,416.0,112.0,69.6,0.4,1469
1990-04-29,Sunday,27333.0,2.0,7.6,238.0,348.0,174.0,64.4,3.5,1110,7.6,372.0,124,75.8,2.5,1105,7.4,172.0,364.0,104.0,78.8,1.0,1171
