DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-07-01,50.6,69.6,97.6,88.9,67.6,93.4,83.4,94.7,100.0
1990-07-02,31.9,73.8,96.0,78.5,73.7,85.0,83.6,90.3,100.0
1990-07-03,24.5,81.3,98.0,88.6,66.5,90.1,79.4,96.6,100.0
1990-07-04,37.2,62.0,95.0,86.7,67.5,89.7,77.0,91.1,100.0
1990-07-05,28.0,61.6,91.7,90.5,69.8,92.9,78.0,91.0,100.0
1990-07-06,31.8,63.3,91.4,88.3,70.1,92.0,80.6,90.9,100.0
1990-07-08,5.9,65.5,93.3,81.1,54.6,83.9,66.6,89.5,100.0
1990-07-09,52.7,66.9,93.8,73.6,69.0,90.3,79.5,90.9,100.0
1990-07-10,50.0,64.4,97.0,69.7,35.8,85.7,66.0,90.3,100.0
1990-07-11,20.7,61.6,94.3,86.9,63.1,89.6,68.4,91.9,100.0
1990-07-12,41.2,58.7,95.6,76.3,64.5,85.7,74.0,89.5,100.0
1990-07-13,52.6,69.6,96.0,85.8,71.3,92.1,82.7,94.7,100.0
1990-07-15,7.7,67.4,80.0,83.3,66.8,88.0,74.8,89.0,100.0
1990-07-16,37.4,71.7,93.6,86.6,72.8,91.5,84.0,92.0,100.0
1990-07-17,33.7,68.7,96.3,83.6,74.1,90.1,81.7,93.4,100.0
1990-07-18,61.1,78.2,98.1,85.2,61.8,93.8,79.5,95.7,100.0
1990-07-19,50.2,55.0,79.4,76.5,70.4,87.4,84.4,91.0,99.7
1990-07-20,42.6,62.4,77.5,87.1,70.5,92.6,82.9,93.2,100.0
1990-07-22,42.6,51.4,77.1,82.9,,89.7,,90.6,98.9
1990-07-23,48.6,69.7,96.7,82.7,61.9,93.3,73.5,83.6,99.6
1990-07-24,40.7,85.5,97.4,78.4,58.8,88.5,77.5,93.5,98.8
1990-07-25,61.2,65.9,98.4,83.0,63.4,93.2,85.3,92.5,100.0
1990-07-26,9.2,50.0,95.0,,39.7,,58.2,79.2,98.4
1990-07-27,60.6,80.4,97.3,78.2,74.1,88.6,87.6,91.3,97.8
1990-07-29,46.0,71.2,97.5,78.2,41.4,86.3,68.6,88.0,99.5
1990-07-30,46.9,66.1,93.3,85.9,,92.1,,93.7,100.0
1990-07-31,35.3,69.7,96.7,84.8,51.3,92.3,67.5,92.3,100.0
