DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-07-01,Sunday,30201.0,1.0,7.3,137.0,398.0,188.0,57.4,4.0,1179,7.3,164.0,204,58.8,4.3,1164,7.3,81.0,204.0,62.0,64.5,0.1,1165
1990-07-02,Monday,39445.0,0.75,8.1,187.0,488.0,216.0,55.6,6.5,2440,8.0,191.0,252,49.2,5.0,2340,7.9,130.0,304.0,66.0,72.7,0.2,2230
1990-07-03,Tuesday,37252.0,3.5,7.6,131.0,436.0,476.0,27.7,4.5,1603,7.8,151.0,416,28.8,5.0,1479,7.8,114.0,269.0,78.0,56.4,0.1,1591
1990-07-04,Wednesday,37643.0,1.25,7.7,145.0,382.0,168.0,54.8,3.5,1814,7.9,180.0,184,56.5,3.0,1820,8.1,113.0,271.0,70.0,65.7,0.2,1893
1990-07-05,Thursday,36389.0,0.9,7.7,156.0,391.0,156.0,53.8,3.5,1358,7.8,161.0,172,58.1,3.0,1412,7.9,116.0,285.0,66.0,72.7,0.3,1460
1990-07-06,Friday,33020.0,0.8,7.7,176.0,422.0,176.0,61.4,4.0,2200,7.7,176.0,196,59.2,3.5,2180,7.7,120.0,274.0,72.0,63.9,0.3,2230
1990-07-08,Sunday,36095.0,4.5,7.5,112.0,341.0,256.0,46.9,4.2,2070,7.4,101.0,238,47.9,3.0,2430,7.5,95.0,251.0,82.0,75.6,0.2,1930
1990-07-09,Monday,39590.0,5.0,7.8,144.0,361.0,220.0,53.6,4.5,1790,7.8,112.0,236,54.2,3.3,1760,7.8,53.0,239.0,78.0,64.1,0.2,1710
1990-07-10,Tuesday,42859.0,12.5,7.8,161.0,326.0,268.0,44.8,4.5,1570,7.9,152.0,208,54.8,5.0,1640,7.9,76.0,173.0,74.0,64.9,0.2,1690
1990-07-11,Wednesday,36325.0,2.5,7.7,135.0,304.0,222.0,46.8,3.5,1087,7.7,135.0,250,55.2,3.5,1143,7.8,107.0,260.0,96.0,72.9,0.2,1162
1990-07-12,Thursday,33522.0,2.5,7.7,189.0,416.0,248.0,58.1,5.5,1330,7.7,194.0,252,63.5,4.5,1931,7.8,114.0,304.0,104.0,71.2,0.2,1426
1990-07-13,Friday,33680.0,1.75,7.6,215.0,532.0,282.0,63.8,5.3,1444,7.6,253.0,296,61.5,5.0,1437,7.8,120.0,320.0,90.0,75.6,0.2,1418
1990-07-15,Sunday,31293.0,1.0,7.7,150.0,337.0,182.0,,3.0,1189,7.7,117.0,190,68.4,2.5,1199,7.7,108.0,256.0,62.0,,0.5,1282
1990-07-16,Monday,36010.0,1.0,7.9,189.0,424.0,264.0,55.3,4.0,2270,7.8,190.0,318,54.7,5.5,2310,8.0,119.0,250.0,90.0,66.7,0.4,2130
1990-07-17,Tuesday,35445.0,2.5,7.9,182.0,388.0,272.0,43.4,3.5,1704,7.9,166.0,262,48.1,4.0,1731,7.9,110.0,274.0,82.0,51.2,0.2,1734
1990-07-18,Wednesday,32540.0,1.0,7.7,290.0,566.0,352.0,52.8,8.0,2540,7.7,314.0,358,54.2,8.0,2730,7.7,122.0,304.0,78.0,89.7,0.2,2750
1990-07-19,Thursday,32929.0,1.2,7.8,246.0,641.0,376.0,56.4,6.0,1683,7.8,265.0,378,58.2,8.0,1724,7.9,132.0,338.0,170.0,63.5,1.7,1710
1990-07-20,Friday,32575.0,2.0,7.7,244.0,607.0,380.0,53.7,6.0,2160,7.8,242.0,436,54.1,8.0,2220,7.9,139.0,353.0,164.0,45.9,1.8,2120
1990-07-22,Sunday,30019.0,4.5,7.6,175.0,416.0,224.0,51.8,4.5,1463,7.7,183.0,214,57.0,3.5,2120,7.7,105.0,274.0,104.0,62.9,0.8,2250
1990-07-23,Monday,27711.0,1.5,7.4,342.0,400.0,232.0,64.7,4.5,1858,7.6,259.0,284,60.6,6.0,1907,7.6,133.0,278.0,86.0,72.1,0.2,1835
1990-07-24,Tuesday,33999.0,1.5,7.5,191.0,488.0,506.0,35.6,6.3,2590,7.4,172.0,580,41.4,7.8,2530,7.6,102.0,267.0,84.0,71.4,0.2,2670
1990-07-25,Wednesday,33959.0,2.0,7.7,235.0,614.0,692.0,29.5,8.0,1589,7.7,242.0,716,31.8,9.5,1632,7.7,94.0,246.0,244.0,23.8,0.2,1588
1990-07-26,Thursday,33290.0,1.0,7.7,128.0,392.0,236.0,59.3,3.2,2100,7.6,130.0,176,56.8,4.0,2200,7.7,118.0,272.0,88.0,59.1,0.2,2010
1990-07-27,Friday,33877.0,1.5,7.6,166.0,452.0,320.0,46.3,4.5,1160,7.7,221.0,388,47.4,5.5,1137,7.7,87.0,216.0,76.0,73.7,0.2,1147
1990-07-29,Sunday,26871.0,2.0,7.3,139.0,369.0,284.0,49.3,4.0,991,7.5,161.0,312,44.9,4.0,986,7.3,87.0,198.0,90.0,62.2,0.1,978
1990-07-30,Monday,37634.0,2.0,8.1,151.0,,268.0,47.8,3.5,1732,8.0,160.0,248,59.7,3.0,1803,8.0,85.0,,84.0,69.0,0.2,1721
1990-07-31,Tuesday,32909.0,0.4,7.5,221.0,391.0,260.0,46.2,4.3,2140,7.5,173.0,244,52.5,4.5,2090,7.5,112.0,261.0,74.0,78.4,0.2,2000
