DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-07-01,7.4,9.0,66.0,10.0,70.0,0.0,1264.0
1990-07-02,8.0,28.0,80.0,21.0,70.5,0.0,2190.0
1990-07-03,7.9,13.0,90.0,16.0,68.8,0.0,1625.0
1990-07-04,8.1,15.0,88.0,15.0,73.3,0.0,1879.0
1990-07-05,7.9,11.0,86.0,14.0,50.0,0.0,1425.0
1990-07-06,7.8,14.0,82.0,16.0,68.8,0.0,2140.0
1990-07-08,7.6,18.0,114.0,27.0,74.1,0.0,2700.0
1990-07-09,7.6,14.0,74.0,20.0,70.0,0.0,1660.0
1990-07-10,7.8,23.0,111.0,26.0,76.9,0.0,1720.0
1990-07-11,7.9,14.0,96.0,18.0,68.9,0.0,1169.0
1990-07-12,7.8,27.0,108.0,26.0,76.9,0.0,1416.0
1990-07-13,7.8,17.0,92.0,15.0,75.3,0.0,1433.0
1990-07-15,7.8,18.0,85.0,20.0,76.0,0.0,1378.0
1990-07-16,8.0,16.0,68.0,21.0,78.1,0.0,1848.0
1990-07-17,8.0,18.0,71.0,18.0,53.3,0.0,1788.0
1990-07-18,7.9,18.0,116.0,15.0,93.3,0.0,2580.0
1990-07-19,7.9,31.0,100.0,34.0,79.4,0.02,1742.0
1990-07-20,8.0,18.0,104.0,26.0,72.3,0.0,2270.0
1990-07-22,7.9,18.0,,21.0,66.7,0.05,2610.0
1990-07-23,7.6,23.0,106.0,38.0,76.8,0.02,1511.0
1990-07-24,7.7,22.0,110.0,33.0,75.0,0.08,2850.0
1990-07-25,7.9,16.0,90.0,52.0,29.2,0.0,1625.0
1990-07-26,7.8,,164.0,49.0,67.3,0.05,2070.0
1990-07-27,7.8,19.0,56.0,28.0,75.0,0.1,1148.0
1990-07-29,7.5,19.0,116.0,34.0,72.9,0.02,1070.0
1990-07-30,8.2,12.0,,17.0,77.6,0.0,1643.0
1990-07-31,7.6,17.0,127.0,20.0,78.0,0.0,1950.0
