DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-11-01,7.8,,42.0,11.0,76.4,0.01,1117.0
1990-11-02,7.6,27.0,90.0,20.0,70.0,,1554.0
1990-11-04,7.8,9.0,39.0,11.0,87.3,0.02,1038.0
1990-11-05,7.8,26.0,,21.0,64.8,0.01,1409.0
1990-11-06,7.8,20.0,83.0,17.0,77.6,0.01,1683.0
1990-11-07,8.0,15.0,75.0,22.0,72.7,0.01,1820.0
1990-11-08,7.8,18.0,98.0,17.0,75.3,0.05,1824.0
1990-11-09,7.7,11.0,55.0,14.0,71.4,0.0,1751.0
1990-11-11,7.9,7.0,45.0,9.0,84.4,0.01,1431.0
1990-11-12,7.8,9.0,51.0,10.0,90.0,0.01,1698.0
1990-11-13,7.9,15.0,74.0,12.0,76.7,0.01,1810.0
1990-11-14,7.8,17.0,106.0,20.0,85.0,0.01,1854.0
1990-11-15,7.9,26.0,158.0,30.0,82.7,0.01,2240.0
1990-11-16,7.6,27.0,77.0,31.0,87.7,,2790.0
1990-11-18,7.7,14.0,131.0,24.0,83.3,0.01,1757.0
1990-11-19,7.7,15.0,23.0,18.0,82.2,0.0,1707.0
1990-11-20,7.8,12.0,66.0,23.0,66.1,0.05,1833.0
1990-11-21,7.9,33.0,140.0,32.0,78.1,0.01,1839.0
1990-11-22,7.8,19.0,100.0,28.0,75.7,0.03,1914.0
1990-11-23,7.9,18.0,86.0,19.0,78.9,0.0,2520.0
1990-11-25,7.7,10.0,70.0,19.0,73.7,0.0,1894.0
1990-11-26,7.7,16.0,105.0,20.0,86.0,0.02,1789.0
1990-11-27,7.8,12.0,78.0,14.0,82.9,0.01,1705.0
1990-11-28,7.8,13.0,86.0,13.0,89.2,0.0,2230.0
1990-11-29,7.7,16.0,98.0,16.0,77.5,0.01,2210.0
1990-11-30,7.8,19.0,118.0,18.0,83.3,0.0,2590.0
