DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-03-01,,58.8,95.5,,70.0,,79.4,87.3,99.6
1990-03-02,,60.7,94.8,,80.8,,79.5,92.1,100.0
1990-03-04,,58.2,95.6,,52.9,,75.8,88.7,98.5
1990-03-05,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6,100.0
1990-03-06,,62.7,95.6,,71.0,92.1,78.2,87.5,99.5
1990-03-07,,59.7,96.5,86.7,78.3,90.1,73.1,84.9,100.0
1990-03-08,,61.9,93.8,89.1,79.8,,86.2,90.1,99.0
1990-03-09,,70.4,95.6,90.6,53.7,92.1,66.9,94.6,100.0
1990-03-11,46.1,43.6,92.5,85.6,58.2,92.2,73.8,90.2,99.4
1990-03-12,21.2,59.7,90.8,88.4,66.1,89.0,69.0,86.5,99.6
1990-03-13,0.6,45.8,92.0,11.6,25.7,19.6,36.0,43.0,36.4
1990-03-14,31.8,61.2,92.9,,,,,18.5,42.9
1990-03-15,46.6,48.5,91.7,,20.4,26.3,31.7,10.3,95.4
1990-03-16,41.1,50.0,84.0,76.5,52.9,84.3,54.1,43.7,100.0
1990-03-18,32.7,33.3,90.0,82.6,61.3,87.0,71.4,78.2,99.2
1990-03-19,28.0,72.7,92.7,78.8,36.6,85.9,60.4,90.7,100.0
1990-03-20,49.8,58.3,92.3,89.9,96.8,94.4,98.1,92.1,100.0
1990-03-21,,39.6,78.3,85.5,70.4,91.3,73.4,89.4,99.4
1990-03-22,35.3,57.5,92.0,75.6,49.3,80.8,60.8,76.1,99.6
1990-03-23,20.1,64.5,93.6,86.9,68.1,87.4,72.2,88.3,100.0
1990-03-25,29.4,55.4,91.3,85.2,68.0,88.4,81.4,92.9,100.0
1990-03-26,28.1,50.0,91.4,85.2,76.5,87.8,82.5,88.5,99.8
1990-03-27,52.0,64.9,90.8,87.6,71.2,90.3,77.6,92.5,100.0
1990-03-28,26.7,66.2,95.0,89.2,72.5,91.1,78.7,88.1,100.0
1990-03-29,34.3,65.0,94.2,89.3,69.7,89.7,78.1,89.1,100.0
1990-03-30,27.2,67.6,97.3,90.4,68.0,91.4,78.0,90.4,100.0
