DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-03-01,7.3,,84.0,21.0,81.0,0.02,2000.0
1990-03-02,7.5,,91.0,17.0,94.1,0.0,2590.0
1990-03-04,7.6,,128.0,21.0,81.0,0.05,1888.0
1990-03-05,7.6,20.0,104.0,20.0,96.7,0.0,1840.0
1990-03-06,7.6,19.0,108.0,22.0,65.9,0.02,2120.0
1990-03-07,7.5,20.0,100.0,28.0,82.1,0.0,1764.0
1990-03-08,7.5,21.0,76.0,26.0,84.6,0.05,1703.0
1990-03-09,7.5,17.0,162.0,18.0,66.7,0.0,1606.0
1990-03-11,7.5,16.0,118.0,19.0,84.2,0.03,1338.0
1990-03-12,7.6,19.0,157.0,27.0,87.0,0.02,1616.0
1990-03-13,7.6,152.0,306.0,131.0,79.6,3.5,1575.0
1990-03-14,7.4,320.0,350.0,238.0,73.9,2.0,1304.0
1990-03-15,7.5,84.0,172.0,104.0,78.8,0.06,1221.0
1990-03-16,7.6,32.0,153.0,98.0,87.8,0.0,2550.0
1990-03-18,7.5,19.0,94.0,41.0,82.9,0.02,1545.0
1990-03-19,7.6,25.0,203.0,20.0,85.0,0.0,1110.0
1990-03-20,7.3,14.0,9.0,20.0,82.5,0.0,1402.0
1990-03-21,7.5,24.0,124.0,26.0,82.7,0.03,1606.0
1990-03-22,7.5,42.0,175.0,53.0,84.2,0.02,1780.0
1990-03-23,7.5,23.0,120.0,25.0,68.0,0.0,1597.0
1990-03-25,7.1,16.0,62.0,17.0,94.1,0.0,1223.0
1990-03-26,7.6,19.0,71.0,23.0,78.3,0.01,1706.0
1990-03-27,7.6,15.0,87.0,23.0,69.7,0.0,1869.0
1990-03-28,7.9,16.0,83.0,20.0,85.0,0.0,1416.0
1990-03-29,7.8,15.0,87.0,21.0,81.0,0.0,2290.0
1990-03-30,7.8,17.0,102.0,22.0,81.8,0.0,1475.0
