DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-03-01,Thursday,44101.0,1.5,7.8,,407.0,166.0,66.3,4.5,2110,7.9,,228,70.2,5.5,2120,7.9,,280.0,94.0,72.3,0.3,2010
1990-03-02,Friday,39024.0,3.0,7.7,,443.0,214.0,69.2,6.5,2660,7.7,,244,75.4,7.7,2570,7.6,,474.0,96.0,79.2,0.4,2700
1990-03-04,Sunday,32229.0,5.0,7.6,,528.0,186.0,69.9,3.4,1666,7.7,,220,72.7,4.5,1594,7.7,,272.0,92.0,78.3,0.2,1742
1990-03-05,Monday,35023.0,3.5,7.9,205.0,588.0,192.0,65.6,4.5,2430,7.8,236.0,268,73.1,8.5,2280,7.8,158.0,376.0,96.0,77.1,0.4,2060
1990-03-06,Tuesday,36924.0,1.5,8.0,242.0,496.0,176.0,64.8,4.0,2110,7.9,,236,57.6,4.5,2020,7.8,,372.0,88.0,68.2,0.2,2250
1990-03-07,Wednesday,38572.0,3.0,7.8,202.0,372.0,186.0,68.8,4.5,1644,7.8,,248,66.1,8.5,1762,7.7,150.0,460.0,100.0,76.0,0.3,1768
1990-03-08,Thursday,41115.0,6.0,7.8,,552.0,262.0,64.1,5.0,1603,7.8,,320,67.5,6.5,1608,7.8,192.0,376.0,122.0,72.1,0.4,1668
1990-03-09,Friday,36107.0,5.0,7.7,215.0,489.0,334.0,40.7,6.0,1613,7.6,,304,53.9,8.0,1557,7.6,181.0,350.0,90.0,71.1,0.4,1596
1990-03-11,Sunday,29156.0,2.5,7.7,206.0,451.0,194.0,69.1,4.5,1249,7.7,206.0,220,61.8,4.0,1219,7.7,111.0,282.0,124.0,77.4,0.3,1233
1990-03-12,Monday,39246.0,2.0,7.8,172.0,506.0,200.0,69.0,5.0,1865,7.8,208.0,248,66.1,6.5,1929,7.8,164.0,463.0,100.0,78.0,0.6,1825
1990-03-13,Tuesday,42393.0,0.7,7.9,189.0,478.0,230.0,67.0,5.5,1410,8.1,173.0,192,62.5,5.0,1406,7.7,172.0,412.0,104.0,71.2,0.4,1562
1990-03-14,Wednesday,42857.0,1.5,7.7,238.0,319.0,292.0,33.8,3.5,1261,7.6,170.0,268,31.3,4.2,1204,7.6,116.0,276.0,104.0,51.9,0.3,1261
1990-03-15,Thursday,42911.0,0.7,7.6,114.0,252.0,116.0,58.6,1.2,1238,7.9,148.0,136,64.7,3.0,1208,7.7,79.0,216.0,70.0,82.9,0.3,1177
1990-03-16,Friday,40376.0,,8.1,204.0,333.0,174.0,67.8,3.0,2390,7.8,231.0,156,74.4,2.5,2540,7.8,136.0,325.0,78.0,79.5,0.4,2580
1990-03-18,Sunday,40923.0,3.5,7.6,146.0,329.0,188.0,57.4,2.5,1300,7.6,162.0,132,63.6,2.0,1324,7.6,109.0,243.0,88.0,81.8,0.2,1467
1990-03-19,Monday,43830.0,1.5,7.8,177.0,512.0,214.0,58.9,5.5,1605,7.7,164.0,256,71.9,5.5,1599,7.7,118.0,320.0,70.0,88.6,0.4,1401
1990-03-20,Tuesday,39165.0,1.2,7.4,250.0,447.0,252.0,61.1,7.0,1533,7.4,275.0,216,57.4,6.5,1501,7.4,138.0,269.0,90.0,73.3,0.5,1458
1990-03-21,Wednesday,35791.0,1.2,7.8,277.0,466.0,246.0,63.4,4.0,1556,7.7,,288,65.3,6.0,1846,7.7,166.0,419.0,174.0,80.5,1.3,1664
1990-03-22,Thursday,37419.0,1.2,7.6,219.0,446.0,222.0,61.3,5.5,1600,7.7,266.0,240,70.0,5.0,1645,7.6,172.0,345.0,102.0,84.3,0.4,1670
1990-03-23,Friday,40983.0,3.0,7.6,182.0,431.0,214.0,57.0,7.0,1591,7.5,219.0,248,58.1,5.5,1473,7.5,175.0,376.0,88.0,65.9,0.4,1537
1990-03-25,Sunday,42217.0,8.5,7.5,138.0,333.0,240.0,55.0,3.8,1087,7.5,153.0,184,67.4,4.0,1109,7.5,108.0,194.0,82.0,85.4,0.4,1136
1990-03-26,Monday,47665.0,1.2,7.7,156.0,405.0,200.0,74.0,4.0,1856,7.6,178.0,184,71.7,3.5,1976,7.5,128.0,302.0,92.0,78.3,0.3,1920
1990-03-27,Tuesday,44314.0,3.0,7.8,155.0,389.0,308.0,49.4,6.0,1927,7.7,252.0,308,49.4,6.5,2150,7.7,121.0,302.0,108.0,72.2,0.6,1950
1990-03-28,Wednesday,40841.0,1.0,7.6,179.0,389.0,168.0,69.0,3.5,1240,7.8,202.0,272,72.1,6.0,1381,7.8,148.0,302.0,92.0,78.3,0.3,1425
1990-03-29,Thursday,41157.0,3.0,8.0,145.0,398.0,192.0,66.7,4.5,2240,8.0,213.0,240,61.7,6.0,2010,8.0,140.0,287.0,84.0,78.6,0.4,2270
1990-03-30,Friday,40078.0,1.4,7.9,198.0,464.0,228.0,64.9,4.6,1431,7.6,243.0,272,64.7,7.5,1606,7.8,177.0,319.0,88.0,81.8,0.2,1556
