DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-12-02,7.6,17.0,83.0,12.0,71.7,0.01,2330.0
1990-12-03,7.8,18.0,87.0,22.0,81.8,0.0,1690.0
1990-12-04,7.7,23.0,105.0,22.0,89.1,0.01,2130.0
1990-12-06,7.8,27.0,116.0,23.0,87.0,0.0,1932.0
1990-12-07,7.8,9.0,60.0,13.0,76.9,,1379.0
1990-12-09,7.7,15.0,100.0,18.0,77.8,0.02,1210.0
1990-12-10,7.9,14.0,67.0,17.0,82.4,0.01,1359.0
1990-12-11,,,,,,,
1990-12-12,7.7,34.0,119.0,33.0,80.8,0.01,2270.0
1990-12-13,7.8,21.0,89.0,19.0,89.5,0.01,2210.0
1990-12-14,7.6,18.0,75.0,18.0,84.4,,1750.0
1990-12-16,7.9,16.0,69.0,12.0,90.0,0.01,1689.0
1990-12-17,7.7,15.0,50.0,11.0,90.9,0.0,1280.0
1990-12-18,7.8,16.0,85.0,14.0,94.3,0.0,1679.0
1990-12-19,7.8,20.0,74.0,20.0,85.0,0.0,2320.0
1990-12-20,7.8,21.0,48.0,19.0,90.5,0.0,1605.0
1990-12-21,7.8,22.0,80.0,16.0,92.5,0.05,1880.0
1990-12-23,7.7,17.0,51.0,14.0,71.4,0.0,1468.0
1990-12-24,7.6,,51.0,32.0,78.8,,1430.0
1990-12-26,7.7,12.0,55.0,18.0,66.7,0.01,1750.0
1990-12-27,7.8,16.0,79.0,17.0,85.3,0.01,1276.0
1990-12-28,7.5,,89.0,19.0,92.6,,1491.0
1990-12-30,7.8,,,14.0,94.3,0.01,1399.0
