DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-12-02,33.2,80.1,84.7,92.4,77.7,95.0,88.4,96.6,99.9
1990-12-03,29.1,59.3,97.5,88.8,76.6,92.9,84.2,89.7,100.0
1990-12-04,19.2,54.5,96.7,88.6,72.7,90.9,77.8,89.6,99.9
1990-12-06,44.8,53.2,90.4,85.5,68.2,89.5,78.5,87.8,100.0
1990-12-07,50.4,65.8,,92.0,71.8,95.8,86.4,93.2,
1990-12-09,34.8,58.3,78.7,87.3,71.7,89.7,86.6,94.2,99.7
1990-12-10,,27.0,40.0,87.7,81.2,96.0,87.6,92.7,99.8
1990-12-11,,33.3,73.0,,,,,,
1990-12-12,45.2,39.6,80.0,83.3,69.9,89.7,76.7,82.1,99.8
1990-12-13,28.0,42.1,77.8,89.7,77.5,93.5,83.5,90.3,99.8
1990-12-14,54.1,59.7,,90.2,79.4,93.8,83.7,91.7,
1990-12-16,30.2,52.5,87.5,90.1,76.0,93.7,80.5,92.6,99.7
1990-12-17,23.2,44.6,93.3,88.1,78.9,90.3,83.9,91.4,100.0
1990-12-18,51.0,52.6,94.3,88.6,72.6,90.7,75.4,90.8,100.0
1990-12-19,29.3,60.6,95.6,85.0,64.8,88.1,77.8,89.8,100.0
1990-12-20,55.4,62.0,96.4,83.1,81.8,88.4,86.2,89.7,100.0
1990-12-21,60.5,61.7,94.5,85.8,75.9,92.3,83.5,94.8,99.1
1990-12-23,12.9,35.9,80.0,89.0,83.7,90.3,86.8,91.4,100.0
1990-12-24,41.0,38.6,,,78.9,,83.1,78.1,
1990-12-26,56.3,46.7,80.0,90.8,82.6,94.0,87.3,84.7,99.8
1990-12-27,37.8,50.0,88.9,89.3,65.0,93.2,82.4,90.4,99.8
1990-12-28,32.4,53.2,,,63.2,,76.3,87.0,
1990-12-30,63.4,49.1,93.6,,,,,92.8,99.8
