DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-05-01,7.6,12.0,99.0,10.0,96.0,0.0,1131.0
1991-05-02,7.7,14.0,66.0,12.0,75.0,0.0,1203.0
1991-05-03,7.6,18.0,74.0,14.0,85.7,0.0,1565.0
1991-05-05,7.6,16.0,65.0,11.0,90.9,0.02,1279.0
1991-05-06,7.7,14.0,65.0,13.0,92.3,0.02,1568.0
1991-05-07,7.8,24.0,86.0,16.0,81.3,0.02,1888.0
1991-05-08,7.4,15.0,59.0,14.0,85.7,0.0,937.0
1991-05-09,7.4,10.0,51.0,10.0,80.0,0.0,683.0
1991-05-10,7.2,14.0,96.0,10.0,72.0,,1548.0
1991-05-12,7.5,13.0,33.0,10.0,68.0,0.0,1353.0
1991-05-13,7.7,20.0,43.0,18.0,83.3,0.02,906.0
1991-05-14,7.8,20.0,80.0,16.0,87.5,0.05,1234.0
1991-05-15,7.9,18.0,104.0,19.0,84.2,0.02,1391.0
1991-05-16,7.7,21.0,96.0,19.0,82.1,0.02,1493.0
1991-05-17,7.7,17.0,72.0,15.0,86.7,0.01,1390.0
1991-05-19,7.7,33.0,111.0,41.0,80.5,0.03,1126.0
1991-05-20,7.7,14.0,87.0,15.0,100.0,0.01,1070.0
1991-05-21,7.7,12.0,79.0,14.0,91.4,0.01,1673.0
1991-05-22,7.7,15.0,90.0,17.0,76.5,0.05,1197.0
1991-05-23,7.7,18.0,98.0,20.0,80.0,0.1,1265.0
1991-05-24,7.6,16.0,119.0,13.0,76.9,,1289.0
1991-05-26,7.6,14.0,44.0,12.0,82.3,0.02,1140.0
1991-05-27,7.7,15.0,56.0,13.0,84.6,0.02,1680.0
1991-05-28,7.6,18.0,71.0,17.0,82.4,0.02,1932.0
1991-05-29,7.8,15.0,103.0,14.0,85.7,0.01,1167.0
1991-05-30,7.7,17.0,79.0,27.0,77.8,0.05,1792.0
1991-05-31,7.6,15.0,,20.0,75.0,0.03,1966.0
