DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-08-01,41.8,82.2,97.5,83.2,62.3,89.9,74.3,93.0,98.6
1990-08-02,61.1,50.7,96.0,81.1,63.4,91.3,86.5,83.8,100.0
1990-08-03,61.4,81.8,97.8,77.6,71.9,91.5,87.8,93.7,99.1
1990-08-05,25.4,56.8,90.9,81.8,72.8,87.5,80.7,91.9,100.0
1990-08-06,43.0,80.6,92.0,77.6,78.9,83.3,84.2,96.7,100.0
1990-08-07,41.3,68.4,89.5,86.5,46.4,89.6,61.5,95.0,100.0
1990-08-08,64.7,65.6,94.7,84.9,48.0,88.4,58.7,93.5,100.0
1990-08-09,64.8,72.2,94.5,72.7,47.5,82.9,71.8,85.7,100.0
1990-08-10,36.5,44.6,91.7,55.3,37.3,77.9,51.9,70.5,96.7
1990-08-12,,5.3,53.3,,68.8,90.3,69.1,94.2,100.0
1990-08-13,63.4,73.7,90.0,73.1,48.3,90.9,75.8,96.4,100.0
1990-08-15,,43.5,68.0,,58.6,89.0,77.3,95.7,100.0
1990-08-16,,46.4,72.0,,66.5,85.1,84.1,94.3,99.2
1990-08-17,,48.2,88.0,,45.3,,69.5,90.6,100.0
1990-08-19,48.2,63.0,94.0,54.5,65.9,65.5,78.7,87.7,99.0
1990-08-20,48.9,29.6,52.0,60.4,81.3,80.0,80.5,91.5,98.3
1990-08-21,26.0,64.1,95.0,81.1,54.5,87.5,79.4,91.3,99.8
1990-08-22,38.0,64.2,95.7,78.7,46.8,87.3,74.6,92.0,100.0
1990-08-23,50.2,55.8,86.7,76.5,71.4,84.8,72.1,85.2,98.3
1990-08-24,,76.9,97.1,77.3,49.3,89.2,71.9,88.7,97.8
1990-08-25,49.2,81.6,,58.5,61.4,66.7,72.5,88.9,
1990-08-27,53.2,67.2,95.0,76.9,,82.4,,79.1,100.0
1990-08-28,37.6,72.8,95.0,87.2,60.4,91.7,74.9,96.6,99.6
1990-08-29,20.3,58.6,90.0,,67.7,,78.2,92.6,100.0
1990-08-30,33.3,55.1,92.0,83.3,65.4,88.5,76.9,91.6,99.2
1990-08-31,44.1,62.2,93.3,86.3,65.2,91.7,77.8,91.0,100.0
