DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-08-01,7.5,22.0,81.0,28.0,71.4,0.05,2170.0
1990-08-02,7.6,18.0,75.0,34.0,71.8,0.0,2080.0
1990-08-03,8.0,19.0,56.0,23.0,78.3,0.05,2350.0
1990-08-05,8.1,8.0,31.0,14.0,80.0,0.0,1400.0
1990-08-06,8.0,11.0,24.0,12.0,76.7,0.0,1433.0
1990-08-07,8.0,5.0,60.0,12.0,83.3,0.0,1407.0
1990-08-08,8.0,8.0,52.0,9.0,88.9,0.0,902.0
1990-08-09,8.0,12.0,53.0,16.0,62.5,0.0,1056.0
1990-08-10,7.9,21.0,99.0,39.0,66.7,0.05,891.0
1990-08-12,7.9,3.0,25.0,12.0,73.3,0.0,831.0
1990-08-13,8.0,7.0,62.0,9.0,93.3,0.0,919.0
1990-08-15,8.0,11.0,58.0,10.0,76.0,0.0,985.0
1990-08-16,7.9,14.0,65.0,11.0,69.1,0.02,990.0
1990-08-17,8.1,11.0,98.0,15.0,66.7,0.0,1061.0
1990-08-19,7.9,20.0,42.0,16.0,67.5,0.02,1143.0
1990-08-20,7.7,19.0,59.0,15.0,77.3,0.05,1040.0
1990-08-21,7.6,14.0,97.0,15.0,72.0,0.01,1162.0
1990-08-22,7.7,16.0,101.0,15.0,61.3,0.0,1570.0
1990-08-23,7.7,24.0,77.0,21.0,59.0,0.03,1959.0
1990-08-24,7.4,22.0,114.0,24.0,70.8,0.1,1796.0
1990-08-25,7.9,27.0,123.0,33.0,,,1525.0
1990-08-27,7.9,15.0,,23.0,,0.0,1375.0
1990-08-28,7.9,10.0,76.0,10.0,,0.02,1723.0
1990-08-29,7.7,,62.0,14.0,,0.0,2100.0
1990-08-30,7.8,15.0,74.0,14.0,,0.02,1672.0
1990-08-31,8.3,11.0,64.0,13.0,,0.0,1720.0
