DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-10-01,7.8,19.0,55.0,20.0,88.0,0.01,1124.0
1991-10-02,7.8,24.0,89.0,17.0,84.7,0.01,1068.0
1991-10-03,7.7,20.0,104.0,22.0,76.4,0.01,1371.0
1991-10-04,7.8,12.0,68.0,15.0,72.0,0.01,1248.0
1991-10-05,7.8,16.0,44.0,,,0.01,1165.0
1991-10-06,7.9,13.0,62.0,13.0,86.2,0.01,1534.0
1991-10-08,7.6,18.0,52.0,18.0,68.9,0.02,1498.0
1991-10-09,7.8,29.0,84.0,23.0,81.7,0.02,1144.0
1991-10-11,7.7,13.0,64.0,15.0,80.0,0.02,1374.0
1991-10-12,7.8,21.0,24.0,18.0,83.3,0.02,1105.0
1991-10-13,7.7,21.0,92.0,18.0,82.2,0.1,1180.0
1991-10-15,7.8,16.0,55.0,19.0,77.9,0.03,976.0
1991-10-16,7.8,33.0,47.0,21.0,80.0,0.02,1539.0
1991-10-17,7.8,25.0,64.0,24.0,87.5,0.08,1631.0
1991-10-18,7.8,22.0,81.0,22.0,81.8,0.02,1504.0
1991-10-19,7.9,20.0,54.0,18.0,77.8,0.02,1241.0
1991-10-20,7.9,27.0,140.0,24.0,70.8,0.2,2080.0
1991-10-22,7.8,23.0,77.0,19.0,80.0,0.1,1680.0
1991-10-23,7.9,37.0,100.0,18.0,88.9,0.05,1365.0
1991-10-24,7.8,12.0,,15.0,93.3,0.1,1463.0
1991-10-25,7.7,21.0,64.0,18.0,77.8,0.01,1840.0
1991-10-26,7.9,16.0,27.0,15.0,70.7,0.15,1337.0
1991-10-27,7.6,16.0,67.0,23.0,80.0,0.05,1799.0
1991-10-29,7.7,15.0,59.0,22.0,81.8,0.05,1468.0
1991-10-30,7.8,,90.0,21.0,85.7,0.05,1568.0
