DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1991-04-01,Monday,34573.0,0.71,7.7,156.0,276.0,146.0,71.2,3.3,1265,7.7,166.0,206,66.0,4.5,1270,7.7,114.0,176.0,124.0,72.6,0.9,1260
1991-04-02,Tuesday,35395.0,0.56,7.8,273.0,473.0,210.0,73.3,4.5,1232,7.9,213.0,224,68.8,6.0,1257,7.9,170.0,310.0,116.0,79.3,0.1,1214
1991-04-03,Wednesday,34525.0,0.77,7.8,312.0,576.0,224.0,67.9,5.5,1300,7.9,324.0,268,71.6,5.0,1280,7.9,157.0,306.0,92.0,73.9,0.4,1248
1991-04-04,Thursday,35861.0,0.76,8.1,242.0,492.0,176.0,75.0,5.5,1530,8.2,397.0,238,68.1,5.0,1612,8.1,148.0,312.0,88.0,75.0,0.1,1589
1991-04-05,Friday,43082.0,0.68,7.8,173.0,496.0,178.0,66.3,4.5,1329,7.9,365.0,212,63.2,5.0,1303,7.9,124.0,304.0,100.0,78.0,0.4,1338
1991-04-07,Sunday,27931.0,2.2,7.5,296.0,455.0,278.0,78.4,4.3,1439,7.6,255.0,182,69.2,3.9,1436,7.6,131.0,318.0,84.0,83.3,0.3,1421
1991-04-08,Monday,32954.0,0.7,7.7,269.0,423.0,192.0,67.7,6.0,1164,7.9,360.0,266,58.6,7.0,1170,7.9,145.0,314.0,94.0,70.2,0.6,1222
1991-04-09,Tuesday,33773.0,4.07,7.9,233.0,506.0,222.0,72.1,4.5,1410,7.9,328.0,242,68.6,5.8,1366,7.9,201.0,388.0,102.0,84.3,0.4,1589
1991-04-10,Wednesday,33666.0,2.7,7.6,237.0,494.0,204.0,71.6,5.5,1187,7.7,241.0,224,65.2,5.0,1248,7.6,164.0,341.0,102.0,84.3,0.7,1350
1991-04-11,Thursday,39715.0,0.6,7.8,241.0,539.0,212.0,70.8,5.5,1338,7.9,232.0,218,67.0,5.5,1403,7.9,160.0,353.0,92.0,80.4,0.2,1427
1991-04-12,Friday,28923.0,0.7,7.2,133.0,467.0,186.0,65.6,,1398,7.4,141.0,216,64.8,,1425,7.5,130.0,393.0,76.0,84.2,,1586
1991-04-14,Sunday,32317.0,0.7,7.5,166.0,393.0,242.0,55.4,5.3,958,7.7,206.0,256,54.7,5.5,982,7.7,135.0,260.0,96.0,79.2,0.4,1038
1991-04-15,Monday,33090.0,0.4,7.9,205.0,453.0,198.0,70.7,5.0,1479,7.9,199.0,214,70.1,5.5,1530,7.9,130.0,301.0,92.0,76.1,0.3,1401
1991-04-16,Tuesday,33371.0,0.82,7.8,290.0,448.0,218.0,66.9,5.5,1842,8.0,254.0,200,62.0,5.0,1829,7.9,137.0,312.0,90.0,75.5,0.3,1856
1991-04-17,Wednesday,33813.0,2.85,7.7,212.0,468.0,224.0,66.1,4.5,1475,7.8,337.0,260,62.3,6.0,1506,7.9,149.0,320.0,114.0,75.4,0.3,1612
1991-04-18,Thursday,35456.0,6.36,8.1,184.0,412.0,216.0,62.0,5.0,1800,8.1,194.0,234,61.5,5.0,1770,8.0,116.0,276.0,106.0,66.0,0.5,1817
1991-04-19,Friday,38045.0,9.6,8.1,177.0,428.0,220.0,61.8,4.5,1372,8.0,160.0,244,55.7,5.3,1335,7.9,138.0,372.0,90.0,73.3,0.4,1340
1991-04-21,Sunday,31191.0,1.98,7.9,270.0,321.0,168.0,66.7,4.0,1026,7.9,226.0,200,63.0,3.5,971,7.8,100.0,226.0,82.0,80.5,0.3,1009
1991-04-22,Monday,36215.0,6.45,7.5,161.0,392.0,266.0,48.1,6.0,1156,7.8,252.0,208,47.1,3.5,1105,7.9,110.0,238.0,82.0,78.0,0.4,1108
1991-04-23,Tuesday,34719.0,9.0,7.7,173.0,388.0,322.0,50.3,5.5,1196,7.7,167.0,210,61.9,4.5,1171,7.8,149.0,319.0,110.0,76.4,0.7,1234
1991-04-24,Wednesday,35729.0,2.9,7.7,334.0,841.0,616.0,59.7,14.0,1285,7.8,357.0,572,55.9,15.5,1378,7.9,170.0,,102.0,80.4,0.4,1420
1991-04-25,Thursday,36395.0,6.5,7.7,183.0,449.0,380.0,52.6,6.5,1306,7.8,258.0,464,50.9,7.5,1410,7.9,125.0,292.0,88.0,77.3,0.3,1498
1991-04-26,Friday,41503.0,8.7,7.5,133.0,346.0,274.0,46.0,,1186,7.3,125.0,146,58.9,,1203,7.1,113.0,196.0,74.0,73.0,,1229
1991-04-28,Sunday,27642.0,1.8,7.5,69.0,170.0,180.0,40.0,1.4,810,7.5,130.0,310,40.0,3.0,827,7.5,83.0,124.0,80.0,65.0,0.3,866
1991-04-29,Monday,35760.0,1.77,7.6,115.0,295.0,182.0,51.6,25.0,1400,7.7,125.0,166,55.4,19.0,1418,7.8,98.0,225.0,84.0,81.0,1.0,1396
