DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-04-01,31.3,39.8,80.0,73.7,75.6,80.8,84.4,69.9,84.6
1991-04-02,20.2,48.2,98.3,87.1,72.6,91.9,82.0,89.5,100.0
1991-04-03,51.5,65.7,93.0,85.4,75.8,92.6,87.2,89.7,100.0
1991-04-04,62.7,63.0,98.0,86.5,73.1,91.7,82.9,89.2,100.0
1991-04-05,66.0,52.8,92.0,81.5,71.1,86.7,82.3,87.1,98.9
1991-04-07,48.6,53.8,92.3,88.5,66.7,94.9,76.7,95.3,100.0
1991-04-08,59.7,64.7,91.4,89.0,65.0,94.1,74.0,92.2,100.0
1991-04-09,38.7,57.9,93.9,91.0,76.8,92.3,82.2,92.8,99.6
1991-04-10,32.0,54.5,86.0,85.4,79.2,89.9,85.6,72.1,99.1
1991-04-11,31.0,57.8,96.4,87.5,77.1,91.7,85.0,93.9,100.0
1991-04-12,7.8,64.8,,84.6,62.6,85.0,68.5,83.3,
1991-04-14,34.5,62.5,93.6,90.4,89.6,92.2,93.1,95.9,100.0
1991-04-15,34.7,57.0,94.5,88.5,76.7,92.7,84.5,88.9,100.0
1991-04-16,46.1,55.0,94.0,86.1,70.5,93.4,79.5,89.9,99.1
1991-04-17,55.8,56.2,95.8,87.9,71.3,91.5,80.3,93.8,99.6
1991-04-18,40.2,54.7,90.0,87.9,69.6,92.4,79.6,94.4,99.6
1991-04-19,13.8,63.1,93.3,85.5,72.0,88.7,75.7,91.8,99.6
1991-04-21,55.8,59.0,91.4,86.0,77.4,94.8,84.1,90.5,100.0
1991-04-22,56.3,60.6,88.6,86.4,75.2,90.7,84.9,95.1,99.7
1991-04-23,10.8,47.6,84.4,86.6,66.1,88.4,72.2,92.5,99.6
1991-04-24,52.4,82.2,97.4,86.5,,93.1,88.1,96.8,100.0
1991-04-25,51.6,81.0,96.0,81.6,81.5,87.4,88.0,95.0,99.7
1991-04-26,9.6,49.3,,85.0,66.8,87.2,81.2,93.4,
1991-04-28,36.2,74.2,90.0,84.3,68.5,81.2,77.1,92.2,98.6
1991-04-29,21.6,49.4,94.7,80.6,74.2,83.5,80.3,89.6,99.8
