DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-11-01,,60.0,93.3,,69.3,,76.9,91.8,99.6
1990-11-02,23.6,61.7,,71.3,64.1,78.2,80.6,91.3,
1990-11-04,36.5,41.6,92.7,90.4,80.9,94.0,86.7,94.1,99.5
1990-11-05,62.2,55.7,95.2,79.2,,89.2,,92.2,99.8
1990-11-06,12.8,61.6,94.3,85.3,68.2,89.0,77.2,89.0,99.7
1990-11-07,37.6,58.4,94.3,87.6,74.0,92.3,82.5,89.5,99.8
1990-11-08,32.3,57.0,92.7,83.5,69.8,90.3,78.6,90.8,98.8
1990-11-09,42.1,65.4,92.0,86.4,68.0,92.1,81.3,94.5,100.0
1990-11-11,22.2,44.9,75.0,92.3,72.0,94.1,79.5,93.0,99.3
1990-11-12,46.5,60.8,92.0,89.4,75.5,93.5,80.6,93.1,99.3
1990-11-13,52.0,55.2,90.0,84.2,65.3,91.0,76.7,89.8,99.6
1990-11-14,25.7,59.5,93.3,84.1,56.4,87.7,65.1,85.3,99.6
1990-11-15,38.5,47.1,76.0,86.5,64.0,89.6,64.7,80.3,99.7
1990-11-16,,60.0,,82.9,74.7,85.9,78.4,89.2,
1990-11-18,30.6,48.1,96.3,87.2,33.5,87.4,64.7,83.1,99.8
1990-11-19,28.0,46.4,85.7,82.4,78.3,89.8,89.7,87.7,100.0
1990-11-20,59.8,42.5,93.3,88.6,70.0,94.2,79.6,86.1,98.6
1990-11-21,57.5,68.9,95.6,71.1,46.2,85.8,69.3,85.0,99.8
1990-11-22,28.4,54.1,91.3,86.5,68.6,91.6,76.1,84.3,99.4
1990-11-23,40.4,61.0,93.8,86.2,67.8,90.8,78.1,89.9,100.0
1990-11-25,,51.8,82.1,92.3,77.2,94.9,85.9,92.5,100.0
1990-11-26,48.9,59.8,97.0,85.8,63.9,90.8,75.4,90.4,99.6
1990-11-27,33.0,57.0,88.6,90.8,71.5,91.9,75.7,90.1,99.7
1990-11-28,42.6,59.2,97.7,92.2,76.9,94.7,85.0,93.5,100.0
1990-11-29,53.4,56.9,96.4,90.5,76.0,94.9,86.8,94.3,99.8
1990-11-30,45.7,62.5,98.3,90.2,71.4,93.7,83.2,92.6,100.0
