DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-08-01,7.7,15.0,95.0,28.0,77.1,0.02,1772.0
1991-08-02,7.8,12.0,75.0,20.0,86.0,0.02,1549.0
1991-08-04,7.5,20.0,,29.0,82.9,0.02,1259.0
1991-08-05,7.8,11.0,60.0,21.0,91.4,0.02,1100.0
1991-08-06,8.0,16.0,44.0,22.0,85.5,0.0,951.0
1991-08-07,7.8,11.0,76.0,23.0,76.5,0.02,898.0
1991-08-08,7.9,11.0,44.0,20.0,78.0,0.02,884.0
1991-08-09,7.8,9.0,57.0,14.0,82.9,0.02,947.0
1991-08-11,7.6,11.0,39.0,16.0,85.0,0.02,728.0
1991-08-12,7.7,8.0,47.0,18.0,77.8,0.01,929.0
1991-08-13,7.8,8.0,33.0,13.0,84.6,0.02,858.0
1991-08-14,7.6,7.0,49.0,17.0,87.1,0.02,879.0
1991-08-16,7.9,9.0,103.0,30.0,64.0,0.05,828.0
1991-08-18,7.5,8.0,44.0,11.0,100.0,0.02,999.0
1991-08-19,7.9,21.0,59.0,16.0,70.0,0.01,1083.0
1991-08-20,7.9,14.0,42.0,13.0,83.1,0.01,1012.0
1991-08-21,7.8,9.0,35.0,16.0,82.5,0.01,1053.0
1991-08-22,7.9,10.0,46.0,12.0,90.0,0.0,1038.0
1991-08-23,7.9,11.0,54.0,14.0,82.9,0.0,1044.0
1991-08-25,7.7,25.0,95.0,26.0,76.9,,968.0
1991-08-26,7.9,19.0,54.0,6.0,100.0,0.01,942.0
1991-08-27,7.9,17.0,88.0,16.0,90.0,0.0,950.0
1991-08-28,7.7,25.0,84.0,20.0,84.0,0.02,1136.0
1991-08-29,7.7,21.0,71.0,27.0,71.1,0.01,1326.0
1991-08-30,7.3,17.0,55.0,18.0,80.0,,1224.0
