DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-01-01,7.9,15.0,77.0,17.0,85.3,0.01,1394.0
1991-01-02,7.8,15.0,85.0,15.0,90.0,0.01,1491.0
1991-01-03,7.8,18.0,92.0,15.0,83.3,0.0,1734.0
1991-01-04,7.7,18.0,88.0,12.0,83.3,0.05,1655.0
1991-01-06,7.8,14.0,89.0,13.0,65.4,0.02,1142.0
1991-01-07,7.8,13.0,92.0,13.0,73.1,0.02,1114.0
1991-01-08,7.8,17.0,166.0,15.0,90.0,0.01,1268.0
1991-01-09,7.7,11.0,83.0,17.0,73.5,0.01,1429.0
1991-01-10,7.8,18.0,95.0,19.0,84.2,0.01,1443.0
1991-01-11,7.7,19.0,100.0,19.0,85.1,,1473.0
1991-01-13,7.7,12.0,156.0,11.0,70.9,0.05,1236.0
1991-01-14,7.8,7.0,84.0,11.0,90.9,0.01,1355.0
1991-01-15,7.7,13.0,60.0,11.0,76.4,0.02,1520.0
1991-01-16,7.8,22.0,155.0,28.0,78.6,0.05,2740.0
1991-01-17,7.7,19.0,116.0,27.0,88.3,0.02,1821.0
1991-01-18,7.7,16.0,105.0,11.0,81.8,0.01,1734.0
1991-01-20,7.7,17.0,78.0,8.0,80.0,0.01,1283.0
1991-01-21,7.8,16.0,86.0,13.0,39.2,0.0,1311.0
1991-01-22,7.7,20.0,76.0,15.0,80.0,0.03,2150.0
1991-01-23,7.8,20.0,61.0,10.0,70.0,0.01,1297.0
1991-01-24,7.7,14.0,71.0,11.0,86.4,0.0,1387.0
1991-01-25,7.4,23.0,101.0,20.0,88.0,,1590.0
1991-01-27,7.7,15.0,60.0,14.0,85.7,0.02,1508.0
1991-01-28,7.9,20.0,62.0,11.0,80.0,0.0,1167.0
1991-01-29,7.8,18.0,41.0,12.0,83.3,0.02,1466.0
1991-01-30,7.9,16.0,63.0,17.0,94.1,0.01,1417.0
1991-01-31,7.8,24.0,47.0,13.0,92.9,0.02,1848.0
