DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-01-01,47.7,31.0,88.0,89.1,67.1,92.4,78.1,87.3,99.6
1991-01-02,43.6,48.9,87.5,77.3,73.0,88.2,80.9,91.3,99.7
1991-01-03,42.1,51.9,92.2,88.6,70.1,92.2,75.0,90.7,100.0
1991-01-04,26.8,57.8,92.4,88.8,73.2,92.8,85.3,94.4,99.0
1991-01-06,49.8,35.2,80.0,88.5,68.1,93.9,80.7,89.7,99.2
1991-01-07,58.9,55.9,94.5,88.9,69.7,94.3,82.4,91.8,100.0
1991-01-08,53.7,69.4,96.4,84.1,51.3,91.6,65.9,91.1,99.7
1991-01-09,55.6,75.0,96.8,88.0,67.7,91.7,84.4,92.3,99.9
1991-01-10,39.7,73.2,96.2,84.2,65.2,86.3,75.3,87.7,100.0
1991-01-11,70.2,51.4,,81.2,54.3,90.7,71.2,86.6,
1991-01-13,35.2,53.6,90.8,89.8,39.1,95.0,53.0,93.0,99.0
1991-01-14,7.5,49.3,84.0,92.9,69.9,93.8,75.8,90.8,100.0
1991-01-15,39.6,26.3,60.0,90.3,77.9,93.6,86.2,91.4,100.0
1991-01-16,12.6,42.3,66.7,84.2,63.3,88.3,64.3,77.8,98.0
1991-01-17,30.8,26.2,65.7,87.2,60.7,88.6,62.2,77.1,100.0
1991-01-18,33.6,46.9,85.0,88.6,68.2,92.8,78.7,93.2,100.0
1991-01-20,44.2,45.2,90.0,87.3,74.2,92.4,76.9,94.5,99.7
1991-01-21,41.0,53.1,90.0,90.1,74.5,92.8,81.7,92.2,100.0
1991-01-22,44.0,50.0,88.0,87.8,75.0,92.6,88.6,92.0,99.6
1991-01-23,32.3,43.4,85.0,88.5,79.7,94.2,82.6,93.1,99.8
1991-01-24,31.2,59.1,92.0,90.8,78.9,90.5,87.0,94.1,100.0
1991-01-25,,36.6,,,76.1,94.6,87.6,90.2,
1991-01-27,54.7,63.8,93.3,90.0,79.9,95.3,88.7,94.4,100.0
1991-01-28,32.8,50.4,83.6,88.9,83.3,94.0,89.6,95.7,100.0
1991-01-29,26.7,23.2,7.7,90.5,86.7,94.2,90.2,94.2,99.7
1991-01-30,45.7,49.5,90.9,89.5,78.3,93.3,89.3,91.6,99.8
1991-01-31,33.2,33.6,56.3,85.3,88.3,90.8,92.1,94.0,99.7
