DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1991-07-01,49.8,60.4,97.8,88.7,73.4,92.8,78.1,94.2,99.8
1991-07-02,34.1,75.4,97.8,82.4,84.0,88.0,81.0,92.3,99.7
1991-07-03,35.8,65.5,97.5,86.4,,92.1,,93.6,99.7
1991-07-04,27.1,50.0,97.5,87.3,64.3,91.4,79.2,92.9,99.7
1991-07-05,51.4,72.1,,83.6,18.5,92.6,70.1,94.6,
1991-07-07,20.1,31.9,70.0,90.2,69.5,91.0,69.5,86.1,99.7
1991-07-08,29.0,68.2,94.5,73.6,60.1,82.5,76.5,,
1991-07-09,50.7,60.4,96.4,82.0,59.3,88.8,72.9,91.9,99.8
1991-07-10,34.0,55.4,93.5,78.1,63.1,85.5,72.5,80.5,99.7
1991-07-11,26.6,65.7,89.2,80.2,60.3,84.2,70.1,86.9,99.8
1991-07-12,37.1,53.2,80.0,78.5,59.3,84.3,73.7,85.8,99.6
1991-07-14,46.4,65.7,93.3,84.3,64.4,92.1,80.9,90.6,100.0
1991-07-15,34.1,50.0,85.0,83.3,33.5,89.8,60.4,92.9,100.0
1991-07-16,24.4,34.0,82.5,82.3,63.1,88.6,73.3,89.4,100.0
1991-07-17,45.2,50.7,90.0,13.2,1.4,29.5,19.2,57.0,100.0
1991-07-18,34.5,49.5,77.8,8.2,,45.7,41.0,66.7,95.5
1991-07-19,35.4,50.8,68.9,18.5,33.9,56.7,50.0,67.8,99.6
1991-07-21,60.9,56.0,90.0,66.7,55.5,83.2,70.4,81.9,100.0
1991-07-22,16.8,64.3,98.0,79.8,72.1,85.7,85.8,89.9,100.0
1991-07-23,45.6,55.8,95.7,82.1,69.0,90.4,79.2,85.3,100.0
1991-07-24,18.5,48.5,95.0,85.1,69.0,88.4,73.0,84.3,100.0
1991-07-25,30.9,50.5,96.0,79.2,59.3,82.6,71.1,84.1,100.0
1991-07-26,17.8,63.3,96.0,85.8,63.3,88.6,64.4,86.0,99.3
1991-07-28,33.8,58.2,94.1,85.7,57.1,92.6,67.7,85.8,100.0
1991-07-29,37.5,60.5,95.7,82.5,62.0,87.7,73.3,89.9,99.7
1991-07-30,28.4,60.2,98.3,85.6,,89.9,72.1,84.7,99.7
1991-07-31,47.4,60.0,98.3,81.2,62.6,88.8,70.5,79.8,99.2
