DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1991-07-01,7.7,12.0,73.0,14.0,78.6,0.01,1788.0
1991-07-02,7.7,16.0,20.0,16.0,93.7,0.01,1318.0
1991-07-03,7.4,12.0,,13.0,92.3,0.01,1467.0
1991-07-04,7.6,13.0,101.0,14.0,76.8,0.01,1605.0
1991-07-05,7.4,11.0,163.0,11.0,90.9,,1365.0
1991-07-07,7.4,12.0,107.0,15.0,78.7,0.01,1220.0
1991-07-08,8.0,29.0,113.0,,,,1240.0
1991-07-09,7.4,20.0,125.0,24.0,78.3,0.01,1300.0
1991-07-10,7.7,23.0,109.0,30.0,86.7,0.01,1479.0
1991-07-11,7.6,23.0,112.0,32.0,82.5,0.01,1410.0
1991-07-12,7.7,31.0,159.0,41.0,82.9,0.02,1399.0
1991-07-14,7.7,14.0,74.0,16.0,87.5,0.0,1170.0
1991-07-15,7.6,20.0,216.0,18.0,100.0,0.0,1205.0
1991-07-16,7.8,17.0,110.0,22.0,83.6,0.0,1602.0
1991-07-17,7.8,105.0,290.0,104.0,86.5,0.0,1434.0
1991-07-18,7.6,101.0,292.0,74.0,83.8,0.25,1642.0
1991-07-19,7.5,101.0,236.0,78.0,74.4,0.02,1374.0
1991-07-21,7.6,31.0,117.0,39.0,71.8,0.01,1444.0
1991-07-22,7.6,26.0,86.0,21.0,70.5,0.01,1603.0
1991-07-23,7.6,19.0,90.0,33.0,82.4,0.01,2240.0
1991-07-24,7.5,15.0,86.0,22.0,86.4,0.01,1289.0
1991-07-25,7.5,20.0,118.0,46.0,75.7,0.01,2060.0
1991-07-26,7.6,15.0,90.0,28.0,85.7,0.02,1959.0
1991-07-28,7.7,14.0,85.0,21.0,85.7,0.0,1760.0
1991-07-29,7.5,14.0,73.0,14.0,88.6,0.01,1809.0
1991-07-30,7.6,16.0,110.0,26.0,78.5,0.01,1693.0
1991-07-31,7.7,19.0,99.0,34.0,79.4,0.02,1648.0
