Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2022-04-01,1896.297863,105.0,119.0,1676.959411,371.0,362.0
2022-04-02,1401.841352,80.0,103.0,2291.222074,396.0,388.0
2022-04-03,3573.294455,92.0,101.0,2611.823012,412.0,405.0
2022-04-04,1296.457964,71.0,96.0,2303.238602,428.0,420.0
2022-04-05,1347.951867,63.0,89.0,2490.509568,402.0,394.0
2022-04-06,1596.28474,91.0,110.0,2155.283702,402.0,394.0
2022-04-07,1430.233785,75.0,98.0,1870.102185,402.0,392.0
2022-04-08,2264.96309,107.0,121.0,2575.263033,429.0,422.0
2022-04-09,1477.346931,71.0,92.0,2519.61519,399.0,392.0
2022-04-10,2003.871469,99.0,115.0,2025.246098,425.0,416.0
2022-04-11,1628.27359,73.0,94.0,2777.020608,402.0,395.0
2022-04-12,2082.208079,93.0,111.0,2367.470586,418.0,409.0
2022-04-13,2151.570183,70.0,88.0,2752.12721,415.0,407.0
2022-04-14,2043.31523,106.0,119.0,1677.902356,376.0,367.0
2022-04-15,1887.381288,93.0,110.0,2280.074557,408.0,400.0
2022-04-16,2555.705271,93.0,106.0,2360.992475,422.0,414.0
2022-04-17,2690.45646,98.0,110.0,1835.429397,417.0,407.0
2022-04-18,1323.361049,80.0,102.0,1839.030737,403.0,394.0
2022-04-19,1966.300564,95.0,112.0,2714.758829,414.0,407.0
2022-04-20,2763.225173,79.0,93.0,2749.063644,412.0,404.0
2022-04-21,2059.461636,94.0,108.0,2731.87586,389.0,383.0
2022-04-22,1318.4894,64.0,89.0,,425.0,416.0
2022-04-23,1947.047006,89.0,103.0,2582.757853,395.0,389.0
2022-04-24,1251.715149,86.0,111.0,2223.750194,402.0,394.0
2022-04-25,2506.417897,80.0,93.0,2646.24021,389.0,382.0
2022-04-26,1636.603526,102.0,122.0,2326.022761,421.0,413.0
2022-04-27,1637.022469,92.0,110.0,1861.294547,379.0,370.0
2022-04-28,1332.325558,67.0,91.0,2272.281239,426.0,418.0
2022-04-29,2130.931333,88.0,102.0,1884.453609,389.0,380.0
2022-04-30,1602.406811,94.0,109.0,2277.42068,379.0,373.0
