Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2023-02-01,1436.023081,77.0,99.0,2245.042584,423.0,415.0
2023-02-02,1154.091891,85.0,108.0,2155.761216,385.0,378.0
2023-02-03,1322.844114,76.0,98.0,2363.544476,425.0,418.0
2023-02-04,1520.702786,101.0,121.0,2470.055811,425.0,418.0
2023-02-05,1112.691209,94.0,119.0,1976.765476,403.0,395.0
2023-02-06,1518.440112,76.0,97.0,2589.699612,403.0,396.0
2023-02-07,1211.169613,98.0,122.0,2065.649775,411.0,403.0
2023-02-08,1096.991002,84.0,110.0,1801.624889,393.0,384.0
2023-02-09,1886.047424,88.0,101.0,2787.766697,397.0,392.0
2023-02-10,1623.185426,69.0,89.0,2306.952287,421.0,413.0
2023-02-11,1605.583692,104.0,121.0,2586.193932,429.0,423.0
2023-02-12,2547.447233,75.0,88.0,2091.878753,402.0,393.0
2023-02-13,1532.106602,71.0,92.0,2032.339408,411.0,402.0
2023-02-14,1191.986077,77.0,102.0,2420.157446,398.0,391.0
2023-02-15,3127.197278,106.0,115.0,2666.717479,420.0,414.0
2023-02-16,1265.17946,97.0,116.0,2277.639323,364.0,358.0
2023-02-17,1682.243642,103.0,118.0,2869.066531,406.0,401.0
2023-02-18,1543.205921,96.0,115.0,2778.156459,420.0,414.0
2023-02-19,3345.331919,110.0,120.0,2113.134662,423.0,414.0
2023-02-20,1626.486804,97.0,111.0,2157.534745,387.0,381.0
2023-02-21,3092.696821,89.0,98.0,1977.972911,385.0,377.0
2023-02-22,1263.666697,69.0,93.0,2873.578069,395.0,389.0
2023-02-23,1161.599848,67.0,89.0,2905.62586,374.0,369.0
2023-02-24,1204.770249,82.0,106.0,1826.431697,392.0,383.0
2023-02-25,1453.342381,64.0,87.0,2111.464256,377.0,368.0
2023-02-26,2925.047553,113.0,122.0,2993.201161,409.0,404.0
2023-02-27,1873.696611,99.0,114.0,2662.991308,402.0,396.0
2023-02-28,1191.05111,81.0,107.0,2934.154409,418.0,412.0
