Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2023-06-01,1067.349686,74.0,100.0,1752.943967,383.0,374.0
2023-06-02,1454.704555,101.0,119.0,1860.748964,368.0,360.0
2023-06-03,1148.537758,66.0,90.0,2238.664166,383.0,376.0
2023-06-04,2071.909836,75.0,90.0,2208.526391,381.0,373.0
2023-06-05,2028.317296,72.0,87.0,2162.059467,392.0,384.0
2023-06-06,2198.993504,101.0,113.0,2500.255614,378.0,372.0
2023-06-07,1307.722586,96.0,119.0,1899.902964,416.0,407.0
2023-06-08,2803.518812,90.0,101.0,2921.967481,429.0,423.0
2023-06-09,2718.072423,85.0,95.0,1716.915747,375.0,366.0
2023-06-10,1205.547313,71.0,93.0,2512.963374,404.0,398.0
2023-06-11,2089.790566,75.0,88.0,2206.371025,371.0,364.0
2023-06-12,1153.872179,83.0,109.0,2842.564112,415.0,409.0
2023-06-13,1582.321779,84.0,100.0,2398.799817,390.0,384.0
2023-06-14,2488.821414,84.0,80.0,1886.526632,422.0,413.0
2023-06-15,1518.503758,105.0,121.0,1973.187169,383.0,376.0
2023-06-16,1487.043567,94.0,114.0,1878.631706,422.0,413.0
2023-06-17,1295.557045,103.0,121.0,1657.179406,373.0,365.0
2023-06-18,2504.524633,75.0,88.0,2056.632144,418.0,409.0
2023-06-19,1532.251581,75.0,96.0,2286.598187,429.0,421.0
2023-06-20,2628.102158,108.0,119.0,1826.092983,411.0,402.0
2023-06-21,1416.71413,76.0,97.0,1879.271294,405.0,396.0
2023-06-22,1732.730233,77.0,93.0,2626.819033,371.0,365.0
2023-06-23,1582.235035,98.0,113.0,2248.751544,389.0,383.0
2023-06-24,1731.035649,96.0,112.0,2249.357181,388.0,381.0
2023-06-25,,94.0,109.0,2196.80904,421.0,413.0
2023-06-26,1295.625391,71.0,95.0,2209.689105,419.0,411.0
2023-06-27,2199.034439,80.0,93.0,2031.495503,404.0,396.0
2023-06-28,1279.186163,89.0,109.0,1616.038519,378.0,369.0
2023-06-29,1256.031915,90.0,110.0,2856.216575,370.0,365.0
2023-06-30,2334.137938,102.0,114.0,2274.784145,406.0,399.0
