Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2023-09-01,1318.484292,103.0,121.0,1686.50622,369.0,361.0
2023-09-02,2036.896731,84.0,98.0,2026.457635,421.0,413.0
2023-09-03,2850.10798,78.0,89.0,2970.525042,415.0,409.0
2023-09-04,2078.884923,103.0,115.0,2026.021849,396.0,389.0
2023-09-05,1662.31596,71.0,87.0,2520.070995,396.0,390.0
2023-09-06,2972.283756,106.0,116.0,2112.179144,423.0,415.0
2023-09-07,1711.805371,81.0,98.0,2067.967876,400.0,392.0
2023-09-08,3254.527059,89.0,100.0,2261.353885,426.0,417.0
2023-09-09,1373.005164,76.0,98.0,2453.16794,404.0,397.0
2023-09-10,1766.845016,105.0,118.0,1450.874232,388.0,379.0
2023-09-11,1251.968966,83.0,104.0,2989.326299,384.0,379.0
2023-09-12,1587.362339,90.0,106.0,2887.729568,366.0,361.0
2023-09-13,962.291424,77.0,103.0,2844.725908,366.0,361.0
2023-09-14,1615.64454,82.0,100.0,1836.987842,409.0,400.0
2023-09-15,1795.828341,82.0,99.0,2892.6305,415.0,409.0
2023-09-16,1192.591729,88.0,114.0,2203.462294,424.0,416.0
2023-09-17,1143.310776,72.0,95.0,2989.872009,364.0,359.0
2023-09-18,1483.188942,100.0,114.0,2951.175197,365.0,361.0
2023-09-19,1175.690351,66.0,91.0,1856.611013,411.0,402.0
2023-09-20,1958.444581,71.0,87.0,2969.001985,400.0,394.0
2023-09-21,1581.917877,101.0,115.0,1398.94271,383.0,374.0
2023-09-22,1411.14744,77.0,96.0,1693.612119,383.0,374.0
2023-09-23,967.8287792,93.0,119.0,2043.639598,417.0,410.0
2023-09-24,2523.639439,89.0,99.0,1793.361277,400.0,392.0
2023-09-25,1463.07752,88.0,104.0,1478.683681,366.0,357.0
2023-09-26,1192.810693,79.0,98.0,2576.82894,365.0,360.0
2023-09-27,1288.793877,91.0,111.0,1831.698297,403.0,395.0
2023-09-28,1438.293634,85.0,105.0,2336.199803,400.0,393.0
2023-09-29,1440.205772,104.0,121.0,1988.409812,372.0,365.0
2023-09-30,1484.626988,76.0,94.0,2532.031328,359.0,353.0
