Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2021-04-01,2697.715688,74.0,87.0,2215.274199,376.0,367.0
2021-04-02,2267.312107,97.0,112.0,2148.278222,399.0,390.0
2021-04-03,1465.193432,85.0,107.0,2617.882037,394.0,387.0
2021-04-04,1100.903754,94.0,119.0,1955.824325,370.0,362.0
2021-04-05,1300.021117,86.0,107.0,2586.717018,362.0,356.0
2021-04-06,2585.960988,93.0,104.0,2695.217839,369.0,363.0
2021-04-07,3063.018498,103.0,112.0,2611.989024,371.0,365.0
2021-04-08,1541.447725,90.0,110.0,2190.782579,386.0,378.0
2021-04-09,1814.206925,71.0,90.0,2177.350678,393.0,384.0
2021-04-10,1899.876588,81.0,97.0,2468.753921,385.0,378.0
2021-04-11,1500.034732,86.0,105.0,2314.660736,362.0,355.0
2021-04-12,2505.305314,102.0,115.0,2057.273214,400.0,391.0
2021-04-13,2151.833543,77.0,92.0,2293.720067,373.0,365.0
2021-04-14,4234.585079,78.0,87.0,2166.625455,423.0,413.0
2021-04-15,1311.463262,68.0,93.0,2662.738802,364.0,357.0
2021-04-16,1590.805252,65.0,88.0,2311.174897,410.0,401.0
2021-04-17,1816.698844,94.0,113.0,2452.88407,405.0,397.0
2021-04-18,3371.925662,84.0,94.0,2129.933043,391.0,382.0
2021-04-19,2055.384778,87.0,103.0,2077.308882,411.0,402.0
2021-04-20,1172.763514,98.0,122.0,2666.864231,401.0,395.0
2021-04-21,1612.782099,96.0,116.0,2037.481386,408.0,399.0
2021-04-22,2081.013483,86.0,102.0,2103.21096,380.0,371.0
2021-04-23,1315.017155,92.0,117.0,2076.631258,412.0,403.0
2021-04-24,3294.28472,110.0,120.0,2080.889848,381.0,372.0
2021-04-25,1767.323839,92.0,112.0,2870.638864,399.0,392.0
2021-04-26,2335.756933,74.0,88.0,2323.786179,374.0,366.0
2021-04-27,1738.141621,69.0,88.0,2682.076674,369.0,362.0
2021-04-28,2839.536292,106.0,118.0,2421.414573,429.0,421.0
2021-04-29,1468.040496,89.0,110.0,1947.355718,405.0,396.0
2021-04-30,1535.409303,72.0,92.0,2182.200471,370.0,362.0
