Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2023-07-01,1418.261006,76.0,95.0,1914.918282,385.0,377.0
2023-07-02,1410.290968,82.0,104.0,2204.813643,425.0,417.0
2023-07-03,2221.173881,98.0,109.0,1736.263858,386.0,378.0
2023-07-04,1058.900952,82.0,104.0,2648.734841,381.0,376.0
2023-07-05,1806.112838,93.0,108.0,1925.203404,396.0,388.0
2023-07-06,3022.302367,80.0,90.0,1909.087662,417.0,408.0
2023-07-07,2200.124979,100.0,112.0,1876.156576,386.0,378.0
2023-07-08,1192.643085,89.0,111.0,2130.912437,417.0,410.0
2023-07-09,3915.341313,89.0,98.0,2861.834833,416.0,409.0
2023-07-10,1757.255985,101.0,116.0,2497.500068,391.0,385.0
2023-07-11,3064.256408,105.0,114.0,1959.783489,401.0,393.0
2023-07-12,1528.183689,67.0,88.0,2027.135664,413.0,404.0
2023-07-13,1612.433663,77.0,95.0,2750.005612,397.0,391.0
2023-07-14,2433.169502,78.0,89.0,2173.689354,372.0,365.0
2023-07-15,1720.323417,79.0,96.0,2771.010945,401.0,395.0
2023-07-16,1007.529213,88.0,113.0,1591.056549,371.0,362.0
2023-07-17,1377.985853,77.0,99.0,2462.067009,423.0,416.0
2023-07-18,1411.77577,97.0,116.0,1694.36622,396.0,387.0
2023-07-19,2650.893746,110.0,120.0,2511.721825,410.0,404.0
2023-07-20,1436.905655,76.0,95.0,1940.092054,373.0,365.0
2023-07-21,1098.494731,93.0,115.0,1717.359201,365.0,357.0
2023-07-22,1271.590546,71.0,93.0,1767.086996,391.0,382.0
2023-07-23,2681.602617,92.0,104.0,2286.736632,406.0,398.0
2023-07-24,2117.799113,111.0,122.0,1891.950965,374.0,367.0
2023-07-25,1071.749065,100.0,122.0,2234.060925,370.0,364.0
2023-07-26,1071.301024,79.0,105.0,2639.150072,412.0,406.0
2023-07-27,1531.5391,75.0,93.0,1741.359957,380.0,371.0
2023-07-28,1516.79856,96.0,115.0,2730.616608,380.0,374.0
2023-07-29,1578.840741,92.0,111.0,1894.87203,378.0,369.0
2023-07-30,2343.175298,78.0,89.0,1831.630841,396.0,388.0
2023-07-31,2789.868622,96.0,106.0,1762.267013,417.0,408.0
