Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2023-04-01,3091.285303,110.0,119.0,2259.508751,368.0,361.0
2023-04-02,2091.007194,79.0,92.0,2575.598112,364.0,358.0
2023-04-03,2910.136128,85.0,95.0,1838.235988,399.0,390.0
2023-04-04,2431.215859,80.0,90.0,1535.718018,375.0,366.0
2023-04-05,1986.06285,104.0,116.0,1935.560109,395.0,388.0
2023-04-06,1933.406151,75.0,94.0,2983.383792,425.0,418.0
2023-04-07,1337.639713,89.0,109.0,2172.709077,390.0,383.0
2023-04-08,2094.80466,94.0,107.0,2211.664834,393.0,386.0
2023-04-09,2577.446894,89.0,99.0,2930.557119,415.0,410.0
2023-04-10,2580.514836,94.0,105.0,2305.321361,384.0,377.0
2023-04-11,1583.448513,85.0,104.0,2850.603185,421.0,415.0
2023-04-12,1426.641767,77.0,96.0,2568.311842,420.0,414.0
2023-04-13,3007.300691,140.0,160.0,2089.572763,429.0,420.0
2023-04-14,2191.172346,78.0,93.0,2076.135798,422.0,413.0
2023-04-15,1022.779908,93.0,118.0,1817.03243,367.0,359.0
2023-04-16,1098.247044,92.0,116.0,2996.896533,380.0,375.0
2023-04-17,2008.715918,100.0,115.0,2447.046428,392.0,385.0
2023-04-18,2257.722476,93.0,104.0,1764.833438,372.0,364.0
2023-04-19,2955.001278,79.0,89.0,2399.883181,384.0,377.0
2023-04-20,3173.389737,84.0,94.0,2577.245808,420.0,413.0
2023-04-21,2033.150929,106.0,118.0,2311.692606,382.0,376.0
2023-04-22,1493.012088,94.0,111.0,1603.246147,379.0,370.0
2023-04-23,1344.896372,96.0,117.0,2676.007556,407.0,401.0
2023-04-24,2235.049755,89.0,104.0,2722.769541,425.0,418.0
2023-04-25,1742.926549,79.0,97.0,1981.707486,419.0,410.0
2023-04-26,1130.662305,95.0,118.0,1642.663885,394.0,385.0
2023-04-27,1466.755591,68.0,91.0,1917.856273,401.0,391.0
2023-04-28,1769.689186,90.0,108.0,2263.65368,423.0,415.0
2023-04-29,1128.392009,,113.0,2084.845285,415.0,407.0
2023-04-30,2383.417471,85.0,97.0,1625.967399,394.0,384.0
