Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2023-03-01,1074.706182,90.0,115.0,2182.037374,382.0,375.0
2023-03-02,2855.622611,79.0,90.0,1984.181778,412.0,403.0
2023-03-03,2175.614686,85.0,100.0,2061.394915,399.0,390.0
2023-03-04,1585.763945,83.0,106.0,2303.850718,425.0,416.0
2023-03-05,1287.202682,82.0,101.0,2317.286628,386.0,380.0
2023-03-06,2149.366528,92.0,105.0,2269.270475,396.0,389.0
2023-03-07,2105.769642,90.0,105.0,2565.27866,428.0,421.0
2023-03-08,2867.865737,100.0,110.0,2717.302786,403.0,397.0
2023-03-09,1829.763642,71.0,90.0,2196.021332,421.0,412.0
2023-03-10,3059.62287,94.0,103.0,2609.093402,373.0,367.0
2023-03-11,2011.566339,85.0,97.0,1715.363196,368.0,360.0
2023-03-12,1868.254563,75.0,89.0,2478.239678,371.0,365.0
2023-03-13,1150.729841,71.0,97.0,1889.881975,414.0,405.0
2023-03-14,947.5909182,90.0,116.0,2334.390227,382.0,376.0
2023-03-15,1507.698826,84.0,105.0,1999.962492,426.0,417.0
2023-03-16,1644.841599,92.0,107.0,1558.487415,372.0,363.0
2023-03-17,1909.902208,83.0,97.0,1900.113959,371.0,363.0
2023-03-18,2930.24349,82.0,93.0,2290.534708,413.0,405.0
2023-03-19,2014.478388,87.0,101.0,1781.470388,360.0,351.0
2023-03-20,1131.663067,97.0,122.0,1787.084593,392.0,383.0
2023-03-21,2718.384702,77.0,87.0,2207.716719,366.0,359.0
2023-03-22,2025.092187,89.0,104.0,2466.996232,402.0,395.0
2023-03-23,1446.115406,100.0,119.0,1952.526945,388.0,380.0
2023-03-24,1335.76373,98.0,150.0,1687.514845,368.0,359.0
2023-03-25,1140.634674,72.0,96.0,2593.803248,372.0,366.0
2023-03-26,1409.013924,78.0,99.0,2803.585456,378.0,372.0
2023-03-27,1919.954513,99.0,113.0,1697.879774,380.0,371.0
2023-03-28,2335.583288,95.0,109.0,2323.613424,418.0,410.0
2023-03-29,1262.567743,83.0,,1794.424405,372.0,364.0
2023-03-30,1302.287483,98.0,119.0,1727.484346,388.0,379.0
2023-03-31,2658.612009,96.0,107.0,2770.938367,407.0,401.0
