Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2021-11-01,1432.495331,96.0,116.0,1809.719101,384.0,375.0
2021-11-02,1539.390373,68.0,89.0,2042.00133,380.0,371.0
2021-11-03,1372.105764,82.0,108.0,2535.136913,425.0,417.0
2021-11-04,3144.584612,99.0,110.0,2184.962208,419.0,410.0
2021-11-05,2233.609554,88.0,102.0,2222.162305,425.0,417.0
2021-11-06,1375.893639,96.0,116.0,1738.212298,402.0,393.0
2021-11-07,2024.793644,83.0,100.0,2174.290908,408.0,399.0
2021-11-08,2097.569356,100.0,114.0,2384.936358,381.0,374.0
2021-11-09,1810.406168,94.0,110.0,2058.431813,395.0,387.0
2021-11-10,1984.978952,103.0,118.0,2115.863502,400.0,392.0
2021-11-11,1498.706825,67.0,93.0,2461.376175,419.0,410.0
2021-11-12,1840.27082,79.0,96.0,2223.162167,393.0,385.0
2021-11-13,1301.522139,67.0,92.0,2642.554771,391.0,384.0
2021-11-14,1094.938071,94.0,118.0,1659.926116,362.0,353.0
2021-11-15,1319.90939,62.0,87.0,2679.887458,395.0,
2021-11-16,1206.166395,70.0,96.0,2228.543185,419.0,411.0
2021-11-17,2188.747654,85.0,102.0,2644.143962,423.0,415.0
2021-11-18,995.3522786,91.0,117.0,2101.757433,378.0,371.0
2021-11-19,1934.414928,72.0,90.0,2827.83828,397.0,390.0
2021-11-20,3417.933629,91.0,100.0,2185.982177,375.0,367.0
2021-11-21,2710.258788,74.0,88.0,2696.368712,424.0,416.0
2021-11-22,1390.964884,97.0,121.0,2711.189268,429.0,422.0
2021-11-23,1759.384421,99.0,114.0,2500.525109,386.0,380.0
2021-11-24,3263.36018,81.0,91.0,2650.31466,402.0,395.0
2021-11-25,3477.663279,89.0,99.0,2196.723971,420.0,411.0
2021-11-26,2843.794881,93.0,104.0,1975.963476,400.0,391.0
2021-11-27,1956.741237,84.0,100.0,1977.613143,395.0,386.0
2021-11-28,2178.771332,98.0,112.0,2167.605129,383.0,375.0
2021-11-29,1931.914601,102.0,118.0,2196.586902,418.0,410.0
2021-11-30,2666.635256,87.0,100.0,2463.470982,407.0,399.0
