Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2022-06-01,1746.143347,70.0,90.0,2836.235693,430.0,423.0
2022-06-02,1671.54711,69.0,87.0,2138.117697,426.0,418.0
2022-06-03,2208.651698,103.0,116.0,2331.86291,414.0,407.0
2022-06-04,1285.520175,83.0,105.0,2679.666804,377.0,371.0
2022-06-05,2514.047683,111.0,122.0,1746.844132,408.0,399.0
2022-06-06,1207.674758,77.0,102.0,1907.119722,418.0,409.0
2022-06-07,1777.934866,69.0,87.0,2599.086784,416.0,409.0
2022-06-08,2618.370512,103.0,114.0,2339.139999,390.0,383.0
2022-06-09,1509.863993,103.0,120.0,1824.01007,373.0,365.0
2022-06-10,1242.003091,62.0,88.0,2039.783077,380.0,371.0
2022-06-11,2728.140048,78.0,91.0,2880.331289,426.0,419.0
2022-06-12,1599.809108,99.0,119.0,2598.54708,402.0,395.0
2022-06-13,1775.330263,105.0,121.0,2306.914868,391.0,384.0
2022-06-14,1330.180575,96.0,118.0,2079.571057,395.0,387.0
2022-06-15,2346.93971,88.0,101.0,1927.228659,408.0,399.0
2022-06-16,2122.918003,103.0,115.0,1609.171846,369.0,360.0
2022-06-17,1821.813775,70.0,88.0,2330.327545,416.0,408.0
2022-06-18,1833.348424,101.0,114.0,2709.872305,383.0,378.0
2022-06-19,2517.482349,99.0,111.0,1908.251621,414.0,405.0
2022-06-20,1656.752903,78.0,96.0,2119.194058,380.0,372.0
2022-06-21,1871.714917,71.0,91.0,2660.174825,425.0,417.0
2022-06-22,1407.491616,71.0,94.0,2629.093804,395.0,388.0
2022-06-23,2281.899458,74.0,89.0,1945.889763,418.0,408.0
2022-06-24,1845.527045,92.0,110.0,2360.659782,429.0,421.0
2022-06-25,1287.61045,95.0,119.0,2509.736712,410.0,403.0
2022-06-26,1419.279048,69.0,94.0,2881.643352,384.0,377.0
2022-06-27,1808.688121,88.0,104.0,2056.478394,390.0,382.0
2022-06-28,1508.824366,71.0,91.0,2859.222174,364.0,358.0
2022-06-29,1689.78075,87.0,105.0,2161.440802,390.0,382.0
2022-06-30,2212.464372,89.0,102.0,1816.801994,379.0,370.0
