Date,"Tube Flow Rate, bph","Tube Temp In, F","Tube Temp Out, F","Shell Flow Rate, bph","Shell Temp In, F","Shell Temp Out, F"
2021-01-01,1607.726079,68.0,90.0,2872.547153,376.0,369.0
2021-01-02,1699.271821,90.0,109.0,2294.335572,383.0,375.0
2021-01-03,1499.37383,96.0,118.0,2083.629832,416.0,407.0
2021-01-04,2895.661064,80.0,92.0,2194.911086,425.0,416.0
2021-01-05,3539.864482,88.0,98.0,2874.875654,388.0,381.0
2021-01-06,1715.411716,85.0,105.0,2786.318744,395.0,388.0
2021-01-07,1701.17336,66.0,88.0,2364.063913,405.0,396.0
2021-01-08,1270.595529,94.0,119.0,2006.482106,383.0,374.0
2021-01-09,1482.115523,76.0,96.0,1872.405944,365.0,356.0
2021-01-10,2041.519573,81.0,97.0,2652.808863,375.0,368.0
2021-01-11,1448.164949,83.0,106.0,2103.942311,383.0,374.0
2021-01-12,1219.155531,93.0,117.0,2079.269758,368.0,360.0
2021-01-13,3180.062066,95.0,105.0,2582.664692,399.0,392.0
2021-01-14,2685.01643,94.0,107.0,2480.451741,404.0,396.0
2021-01-15,1826.882101,90.0,109.0,1973.306701,405.0,395.0
2021-01-16,2846.279281,92.0,104.0,2773.902465,381.0,374.0
2021-01-17,2638.205623,91.0,104.0,2166.406517,400.0,391.0
2021-01-18,3854.20431,86.0,96.0,2434.572389,400.0,391.0
2021-01-18,3854.20431,86.0,96.0,2434.572389,400.0,391.0
2021-01-19,1576.602767,98.0,118.0,1792.597346,388.0,378.0
2021-01-20,2655.679384,83.0,95.0,2264.630595,374.0,366.0
2021-01-21,2716.170357,105.0,117.0,2058.857131,398.0,389.0
2021-01-22,1648.795115,75.0,95.0,2082.977829,368.0,359.0
2021-01-23,1390.940056,96.0,121.0,1976.873554,393.0,383.0
2021-01-24,2501.6788,98.0,113.0,2666.633246,421.0,413.0
2021-01-25,3586.639362,84.0,94.0,2912.863539,419.0,412.0
2021-01-26,1819.528728,105.0,122.0,2198.104424,391.0,383.0
2021-01-27,1384.515835,80.0,106.0,2558.066069,395.0,387.0
2021-01-28,1222.695388,92.0,116.0,2383.207982,369.0,310.0
2021-01-29,3689.750722,84.0,94.0,2622.029106,416.0,408.0
2021-01-30,3395.933501,80.0,89.0,2895.882293,375.0,369.0
2021-01-31,2435.585589,88.0,101.0,2250.024412,377.0,369.0
