DATE,RD-DBO-P,RD-SS-P,RD-SED-P,RD-DBO-S,RD-DQO-S,RD-DBO-G,RD-DQO-G,RD-SS-G,RD-SED-G
1990-02-01,,50.0,89.4,,76.6,,79.5,90.6,98.6
1990-02-02,6.8,47.9,80.0,84.6,78.9,80.0,80.8,82.4,100.0
1990-02-04,42.7,54.5,95.7,84.9,73.6,88.1,78.9,83.3,100.0
1990-02-05,,33.0,94.5,85.3,73.7,84.4,76.8,80.7,100.0
1990-02-06,13.8,58.5,98.6,75.0,67.3,79.8,77.1,71.1,99.3
1990-02-07,,44.9,95.0,83.2,67.8,85.5,71.8,79.7,100.0
1990-02-08,7.3,52.1,96.4,84.2,71.2,84.3,73.2,82.4,100.0
1990-02-09,18.0,52.1,96.4,85.7,70.6,80.0,78.5,82.6,100.0
1990-02-11,,42.7,96.3,86.6,71.3,,77.1,80.6,98.6
1990-02-12,,50.5,96.7,80.6,66.5,,75.7,80.6,99.6
1990-02-13,,53.1,92.5,,34.4,,58.5,76.0,96.2
1990-02-14,,67.1,95.3,85.2,73.1,88.7,79.3,85.6,99.0
1990-02-15,4.6,55.9,94.3,85.5,76.6,87.0,81.7,82.8,100.0
1990-02-16,28.9,63.5,96.9,84.8,63.8,89.4,,89.0,100.0
1990-02-18,16.4,38.3,73.3,81.1,73.7,87.8,79.9,86.2,99.5
1990-02-19,25.2,43.3,77.8,85.4,79.2,88.1,83.1,82.3,94.3
1990-02-21,17.3,66.9,90.0,87.2,75.0,87.6,79.2,82.9,99.5
1990-02-22,33.0,61.3,93.3,81.2,74.7,,85.5,88.7,100.0
1990-02-23,19.1,58.9,93.3,91.0,76.3,92.2,82.4,86.3,100.0
1990-02-25,26.3,41.5,84.4,74.6,64.7,84.4,67.1,72.2,98.8
1990-02-26,,54.5,91.4,,75.0,,76.6,88.3,99.6
1990-02-27,,59.5,90.0,,65.3,,78.1,77.4,99.4
1990-02-28,,70.3,94.7,,79.8,,82.4,92.3,100.0
