DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-02-01,7.5,,75.0,20.0,75.0,0.05,1377.0
1990-02-02,7.5,19.0,67.0,24.0,83.3,0.0,1220.0
1990-02-04,7.4,19.0,79.0,28.0,82.0,0.0,1087.0
1990-02-05,7.7,32.0,114.0,37.0,83.8,0.0,1275.0
1990-02-06,7.5,47.0,116.0,59.0,81.4,0.05,1483.0
1990-02-07,7.5,26.0,97.0,35.0,82.9,0.0,1470.0
1990-02-08,7.5,26.0,106.0,31.0,83.9,0.0,1442.0
1990-02-09,7.6,24.0,98.0,32.0,81.3,0.0,1420.0
1990-02-11,7.5,22.0,89.0,33.0,90.9,0.05,1274.0
1990-02-12,7.5,34.0,128.0,40.0,84.2,0.02,1342.0
1990-02-13,7.6,,295.0,88.0,76.1,0.25,2390.0
1990-02-14,7.5,23.0,97.0,38.0,88.4,0.05,1716.0
1990-02-15,7.4,27.0,78.0,33.0,84.8,0.0,1636.0
1990-02-16,7.6,25.0,125.0,25.0,90.6,0.0,1445.0
1990-02-18,7.6,24.0,71.0,24.0,91.7,0.02,1509.0
1990-02-19,7.6,23.0,71.0,33.0,78.7,0.02,1340.0
1990-02-21,7.5,24.0,88.0,29.0,87.4,0.02,1445.0
1990-02-22,7.4,29.0,76.0,25.0,84.0,0.0,1422.0
1990-02-23,7.7,16.0,86.0,26.0,82.1,0.0,1574.0
1990-02-25,7.5,30.0,98.0,45.0,74.1,0.05,1399.0
1990-02-26,7.6,,102.0,23.0,84.1,0.02,1354.0
1990-02-27,7.6,,113.0,37.0,95.5,0.02,1409.0
1990-02-28,7.6,,66.0,15.0,93.3,0.0,2400.0
