DATE,DAY-OF-WEEK,Q-E,ZN-E,PH-E,DBO-E,DQO-E,SS-E,SSV-E,SED-E,COND-E,PH-P,DBO-P,SS-P,SSV-P,SED-P,COND-P,PH-D,DBO-D,DQO-D,SS-D,SSV-D,SED-D,COND-D
1990-02-01,Thursday,44365.0,7.5,7.9,,365.0,212.0,62.3,3.5,1339,7.9,,184,65.2,4.7,1380,7.8,,321.0,92.0,73.9,0.5,1386
1990-02-02,Friday,43080.0,4.25,7.8,95.0,349.0,136.0,76.5,2.5,1063,7.8,132.0,188,74.5,2.0,1139,7.8,123.0,317.0,98.0,69.4,0.4,1218
1990-02-04,Sunday,29414.0,3.0,7.6,160.0,374.0,168.0,69.0,3.1,1042,7.6,220.0,246,69.9,4.6,1057,7.6,126.0,299.0,112.0,75.0,0.2,1085
1990-02-05,Monday,37312.0,1.0,8.1,205.0,492.0,192.0,70.8,4.0,1454,8.1,,200,72.0,5.5,1489,7.9,217.0,433.0,134.0,79.1,0.3,1423
1990-02-06,Tuesday,38568.0,0.7,8.2,233.0,506.0,204.0,66.7,6.7,1692,8.3,218.0,212,66.0,10.5,1614,7.9,188.0,355.0,88.0,81.8,0.2,1516
1990-02-07,Wednesday,38655.0,1.5,7.9,179.0,344.0,172.0,65.1,3.8,1379,8.0,148.0,156,74.4,4.0,1412,7.8,155.0,301.0,86.0,81.4,0.2,1426
1990-02-08,Thursday,34193.0,2.0,8.0,166.0,396.0,176.0,70.5,4.0,1265,8.0,178.0,188,70.2,5.5,1380,7.8,165.0,368.0,90.0,77.8,0.2,1434
1990-02-09,Friday,36332.0,3.5,7.9,120.0,455.0,184.0,67.4,4.0,1224,8.1,205.0,188,68.1,5.5,1217,7.7,168.0,333.0,90.0,77.8,0.2,1353
1990-02-11,Sunday,32484.0,0.9,7.5,,388.0,170.0,76.5,3.5,1130,7.6,,178,75.3,4.0,1149,7.7,164.0,310.0,102.0,82.4,0.2,1212
1990-02-12,Monday,37724.0,1.0,7.9,,526.0,206.0,70.9,5.5,1422,7.9,,218,71.6,6.0,1461,7.8,175.0,382.0,108.0,81.5,0.2,1595
1990-02-13,Tuesday,36446.0,1.0,7.7,,710.0,366.0,55.7,6.5,2400,7.8,,256,62.5,6.0,2450,7.8,192.0,450.0,120.0,66.7,0.5,2330
1990-02-14,Wednesday,35636.0,1.2,8.0,203.0,469.0,264.0,65.2,5.2,1489,8.1,,304,65.8,8.5,1690,7.9,155.0,361.0,100.0,80.0,0.4,1718
1990-02-15,Thursday,34746.0,1.0,7.7,208.0,427.0,192.0,75.0,4.5,1426,7.7,195.0,236,74.6,7.0,1375,7.7,186.0,334.0,104.0,80.8,0.4,1518
1990-02-16,Friday,34893.0,1.2,8.0,235.0,,228.0,75.4,7.0,1532,8.0,232.0,252,77.8,8.0,1532,7.8,165.0,345.0,92.0,80.4,0.3,1478
1990-02-18,Sunday,37102.0,2.0,7.8,196.0,353.0,174.0,67.8,4.0,1315,7.8,152.0,162,76.5,3.0,1322,7.7,127.0,270.0,100.0,74.0,0.8,1337
1990-02-19,Monday,41598.0,1.2,8.2,194.0,419.0,186.0,72.0,0.4,1310,8.0,210.0,208,71.2,4.5,1333,7.9,157.0,341.0,118.0,72.9,1.0,1474
1990-02-21,Wednesday,38058.0,1.0,7.8,193.0,424.0,170.0,74.1,4.0,1406,7.7,226.0,356,71.9,4.5,1324,7.7,187.0,352.0,118.0,78.0,0.5,1360
1990-02-22,Thursday,40716.0,3.5,8.1,,524.0,222.0,67.6,5.8,1597,8.1,230.0,248,66.1,7.5,1512,7.9,154.0,300.0,96.0,77.1,0.5,1521
1990-02-23,Friday,40868.0,1.5,8.1,206.0,490.0,190.0,68.4,5.2,1392,8.0,220.0,224,69.6,6.0,1505,8.1,178.0,363.0,92.0,80.4,0.4,1532
1990-02-25,Sunday,36358.0,2.0,7.7,192.0,298.0,162.0,67.9,4.0,1241,7.7,160.0,188,68.1,4.5,1243,7.7,118.0,278.0,110.0,74.5,0.7,1285
1990-02-26,Monday,40879.0,1.2,7.6,,435.0,196.0,68.4,4.5,1421,7.7,,264,69.7,7.0,1469,7.7,,408.0,120.0,73.3,0.6,1532
1990-02-27,Tuesday,44150.0,1.0,8.1,,516.0,164.0,75.6,3.5,1548,8.1,,232,74.1,5.5,1545,7.9,,326.0,94.0,93.6,0.6,1415
1990-02-28,Wednesday,45779.0,3.0,7.8,,376.0,194.0,68.5,5.0,2020,7.8,,276,62.3,7.5,2390,7.7,,326.0,82.0,68.3,0.4,2260
