DATE,PH-S,DBO-S,DQO-S,SS-S,SSV-S,SED-S,COND-S
1990-05-01,7.5,26.0,104.0,41.0,73.2,0.5,1146.0
1990-05-02,7.6,26.0,92.0,44.0,74.2,0.3,1213.0
1990-05-03,7.7,29.0,148.0,49.0,80.3,0.1,1334.0
1990-05-04,7.6,30.0,122.0,42.0,81.0,0.05,1304.0
1990-05-06,7.4,42.0,154.0,69.0,83.1,0.1,1092.0
1990-05-07,7.8,20.0,83.0,25.0,90.7,0.05,1021.0
1990-05-08,7.8,26.0,82.0,36.0,74.1,0.02,1345.0
1990-05-09,7.5,24.0,91.0,32.0,84.4,0.0,2290.0
1990-05-10,7.7,19.0,75.0,32.0,77.1,0.02,1390.0
1990-05-11,7.6,28.0,103.0,34.0,76.5,0.0,1469.0
1990-05-13,7.7,28.0,74.0,25.0,88.0,0.0,1060.0
1990-05-14,7.7,23.0,94.0,22.0,84.1,0.0,1107.0
1990-05-15,7.7,14.0,100.0,19.0,86.8,0.0,1309.0
1990-05-16,7.6,,77.0,20.0,75.0,0.0,1395.0
1990-05-17,7.8,19.0,88.0,19.0,78.9,0.0,1437.0
1990-05-18,7.7,13.0,132.0,13.0,50.0,0.0,1516.0
1990-05-20,7.7,13.0,55.0,18.0,83.3,0.0,1165.0
1990-05-21,7.8,15.0,47.0,13.0,69.2,0.0,1136.0
1990-05-22,7.6,27.0,95.0,39.0,59.0,0.0,1176.0
1990-05-23,7.8,12.0,36.0,14.0,77.1,0.0,1276.0
1990-05-24,7.7,25.0,109.0,24.0,75.0,0.0,1399.0
1990-05-25,7.9,16.0,66.0,20.0,80.0,0.0,1333.0
1990-05-27,7.7,17.0,78.0,21.0,87.6,0.0,1107.0
1990-05-28,7.6,24.0,63.0,16.0,68.8,0.0,1014.0
1990-05-29,7.9,32.0,128.0,40.0,82.5,0.05,1187.0
1990-05-30,8.0,15.0,36.0,17.0,82.4,0.0,1217.0
